X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...108,14,180,15,moyenne,331.614571833768,165.807285916884,2550,0,982.544652292143,128.38658729048714,296.2911571885549,210
1...109,15,180,15,moyenne,331.614571833768,165.807285916884,2745,0,982.196071583072,128.34103914412196,296.1860409666882,225
1...110,16,180,15,moyenne,331.614571833768,165.807285916884,2940,0,981.980610726424,128.31288542712272,296.12106768898923,240
1...111,17,180,15,moyenne,331.614571833768,165.807285916884,3135,0,981.847393737534,128.29547830518402,296.0808954528437,255
1...112,18,180,15,moyenne,331.614571833768,165.807285916884,3330,0,981.765012394826,128.28471374662476,296.056052955045,270
1...113,19,180,15,moyenne,331.614571833768,165.807285916884,3525,0,981.714062139301,128.27805620753665,296.0406886556889,285
1...114,20,180,15,moyenne,331.614571833768,165.807285916884,3720,0,981.682548852244,128.27393844721897,296.0311856694713,300
1...115,2,210,15,moyenne,331.614571833768,165.807285916884,240,0,1498.62098307685,195.82095654411432,451.9165049924524,30
1...116,3,210,15,moyenne,331.614571833768,165.807285916884,465,0,1274.69845232074,166.56157431231506,384.39156797962477,45
1...117,4,210,15,moyenne,331.614571833768,165.807285916884,690,0,1179.31644006986,154.09825163967906,355.62865453965287,60
1...118,5,210,15,moyenne,331.614571833768,165.807285916884,915,0,1132.35741892789,147.9622369019725,341.4679314802604,75
1...119,6,210,15,moyenne,331.614571833768,165.807285916884,1140,0,1107.59489674826,144.72658170001185,334.0006715095367,90
1...120,7,210,15,moyenne,331.614571833768,165.807285916884,1365,0,1094.06352922329,142.9584726437451,329.9202212898301,105
1...121,8,210,15,moyenne,331.614571833768,165.807285916884,1590,0,1086.52521605082,141.9734606141314,327.64700599329336,120
1...122,9,210,15,moyenne,331.614571833768,165.807285916884,1815,0,1082.28040539359,141.41880210298413,326.36696252784583,135
1...123,10,210,15,moyenne,331.614571833768,165.807285916884,2040,0,1079.87573431067,141.10458990593844,325.64182217299873,150
1...124,11,210,15,moyenne,331.614571833768,165.807285916884,2265,0,1078.50885086872,140.92598275569196,325.2296317694253,165
1...125,12,210,15,moyenne,331.614571833768,165.807285916884,2490,0,1077.73037159118,140.82426086703626,324.99487752649947,180
1...126,13,210,15,moyenne,331.614571833768,165.807285916884,2715,0,1077.28651701115,140.7662635285434,324.86103100172954,195
1...127,14,210,15,moyenne,331.614571833768,165.807285916884,2940,0,1077.03329184331,140.73317524595066,324.7846697108371,210
1...128,15,210,15,moyenne,331.614571833768,165.807285916884,3165,0,1076.88877166753,140.71429116559895,324.7410889432668,225
1...129,16,210,15,moyenne,331.614571833768,165.807285916884,3390,0,1076.80627454386,140.70351147823862,324.7162115311513,240
1...130,17,210,15,moyenne,331.614571833768,165.807285916884,3615,0,1076.75917683616,140.69735734168444,324.70200898648034,255
1...131,18,210,15,moyenne,331.614571833768,165.807285916884,3840,0,1076.73228690801,140.6938437038059,324.69390019680895,270
1...132,19,210,15,moyenne,331.614571833768,165.807285916884,4065,0,1076.71693381014,140.69183755392226,324.689270394872,285
1...133,20,210,15,moyenne,331.614571833768,165.807285916884,4290,0,1076.70816760119,140.69069209590367,324.6866269015835,300
1...134,2,240,15,moyenne,331.614571833768,165.807285916884,270,0,1536.43509774655,200.76202983022733,463.31953666883345,30
1...135,3,240,15,moyenne,331.614571833768,165.807285916884,525,0,1329.48195806896,173.71999436621758,400.911802734472,45
1...136,4,240,15,moyenne,331.614571833768,165.807285916884,780,0,1244.95728127065,162.67537184382067,375.4229720323397,60
1...137,5,240,15,moyenne,331.614571833768,165.807285916884,1035,0,1205.48494303898,157.5176227419171,363.5198949107901,75
1...138,6,240,15,moyenne,331.614571833768,165.807285916884,1290,0,1185.90492564775,154.95915213594105,357.6154446681617,90
1...139,7,240,15,moyenne,331.614571833768,165.807285916884,1545,0,1175.90176181118,153.6520643979041,354.5989415690203,105
1...140,8,240,15,moyenne,331.614571833768,165.807285916884,1800,0,1170.71428758364,152.97423045806482,353.0346332821877,120
1...141,9,240,15,moyenne,331.614571833768,165.807285916884,2055,0,1168.00328323902,152.61999048014272,352.2171166303625,135
1...142,10,240,15,moyenne,331.614571833768,165.807285916884,2310,0,1166.58077449643,152.4341149146649,351.7881521446574,150
1...143,11,240,15,moyenne,331.614571833768,165.807285916884,2565,0,1165.83278190727,152.33637664331326,351.56259131208486,165
1...144,12,240,15,moyenne,331.614571833768,165.807285916884,2820,0,1165.43903068668,152.28492618217132,351.44385370100446,180
1...145,13,240,15,moyenne,331.614571833768,165.807285916884,3075,0,1165.23163470632,152.25782628185218,351.3813124262911,195
1...146,14,240,15,moyenne,331.614571833768,165.807285916884,3330,0,1165.12236181832,152.24354787410658,351.3483606511639,210
1...147,15,240,15,moyenne,331.614571833768,165.807285916884,3585,0,1165.06477873339,152.23602364022818,351.33099618958073,225
1...148,16,240,15,moyenne,331.614571833768,165.807285916884,3840,0,1165.03443181882,152.232058286809,351.3218449287051,240
1...149,17,240,15,moyenne,331.614571833768,165.807285916884,4095,0,1165.01843794328,152.22996840815227,351.3170218971202,255
1...150,18,240,15,moyenne,331.614571833768,165.807285916884,4350,0,1165.01000841663,152.22886694354548,351.31447993202994,270
1...151,19,240,15,moyenne,331.614571833768,165.807285916884,4605,0,1165.00556560299,152.2282864124929,351.31314017979423,285
1...152,20,240,15,moyenne,331.614571833768,165.807285916884,4860,0,1165.00322398596,152.22798043940708,351.3124340536982,300
1...153,2,270,15,moyenne,331.614571833768,165.807285916884,300,0,1573.41677813005,205.59433106521837,474.4715437048929,30
1...154,3,270,15,moyenne,331.614571833768,165.807285916884,585,0,1383.10689685446,180.7270274494169,417.08266594140645,45
1...155,4,270,15,moyenne,331.614571833768,165.807285916884,870,0,1308.9063153070001,171.03142794905406,394.7071167798771,60
1...156,5,270,15,moyenne,331.614571833768,165.807285916884,1155,0,1276.18780682357,166.75618444167458,384.84069013206647,75
1...157,6,270,15,moyenne,331.614571833768,165.807285916884,1440,0,1260.98450655415,164.7696082259373,380.25606039600007,90
1...158,7,270,15,moyenne,331.614571833768,165.807285916884,1725,0,1253.7483299218,163.82407560236516,378.07395585447307,105
1...159,8,270,15,moyenne,331.614571833768,165.807285916884,2010,0,1250.2648601976,163.3688995563947,377.0234984801372,120
1...160,9,270,15,moyenne,331.614571833768,165.807285916884,2295,0,1248.57876541618,163.14858187991067,376.5150483320945,135
1...161,10,270,15,moyenne,331.614571833768,165.807285916884,2580,0,1247.76049652512,163.04166078460565,376.26829533612846,150
1...162,11,270,15,moyenne,331.614571833768,165.807285916884,2865,0,1247.36287950809,162.98970518976725,376.14839197517796,165
1...163,12,270,15,moyenne,331.614571833768,165.807285916884,3150,0,1247.16954765227,162.96444301249588,376.0900918061743,180
1...164,13,270,15,moyenne,331.614571833768,165.807285916884,3435,0,1247.07551625044,162.9521561706196,376.0617361759286,195
1...165,14,270,15,moyenne,331.614571833768,165.807285916884,3720,0,1247.02977520063,162.946179305069,376.0479427380959,210
1...166,15,270,15,moyenne,331.614571833768,165.807285916884,4005,0,1247.00752313442,162.94327168470366,376.04123251843123,225
1...167,16,270,15,moyenne,331.614571833768,165.807285916884,4290,0,1246.99669759268,162.94185713895624,376.03796802324337,240
1...168,17,270,15,moyenne,331.614571833768,165.807285916884,4575,0,1246.99143092071,162.9411689564507,376.036379832489,255
1...169,18,270,15,moyenne,331.614571833768,165.807285916884,4860,0,1246.9888686414,162.94083414999122,376.0356071646005,270
1...170,19,270,15,moyenne,331.614571833768,165.807285916884,5145,0,1246.98762206641,162.94067126323756,376.03523125380053,285
1...171,2,300,15,moyenne,331.614571833768,165.807285916884,330,0,1609.47885268206,210.3064697670542,485.3462390937575,30
1...172,3,300,15,moyenne,331.614571833768,165.807285916884,645,0,1435.3180141013,187.54932010177382,432.8271843315731,45
1...173,4,300,15,moyenne,331.614571833768,165.807285916884,960,0,1370.75425325879,179.11293922292862,413.3576657017119,60
1...174,5,300,15,moyenne,331.614571833768,165.807285916884,1275,0,1343.97818592309,175.614179244671,405.2832113170227,75
1...175,6,300,15,moyenne,331.614571833768,165.807285916884,1590,0,1332.36233163191,174.096365385088,401.78039350448006,90
1...176,7,300,15,moyenne,331.614571833768,165.807285916884,1905,0,1327.22512282959,173.42509949931897,400.2312430030675,105
1...177,8,300,15,moyenne,331.614571833768,165.807285916884,2220,0,1324.93380230156,173.12569852828307,399.5402840637907,120
1...178,9,300,15,moyenne,331.614571833768,165.807285916884,2535,0,1323.90795402892,172.99165356809235,399.23093448757413,135
1...179,10,300,15,moyenne,331.614571833768,165.807285916884,2850,0,1323.44789527699,172.9315388720573,399.0922015153209,150
1...180,11,300,15,moyenne,331.614571833768,165.807285916884,3165,0,1323.24141813432,172.90455903390026,399.0299373206179,165
1...181,12,300,15,moyenne,331.614571833768,165.807285916884,3480,0,1323.14871848805,172.8924462091041,399.0019832877908,180
1...182,13,300,15,moyenne,331.614571833768,165.807285916884,3795,0,1323.10709386176,172.88700722604702,398.9894311776528,195
1...183,14,300,15,moyenne,331.614571833768,165.807285916884,4110,0,1323.08840200988,172.88456480974827,398.9837945580747,210
1...184,15,300,15,moyenne,331.614571833768,165.807285916884,4425,0,1323.08000803515,172.88346799061964,398.98126331384026,225
1...185,16,300,15,moyenne,331.614571833768,165.807285916884,4740,0,1323.07623848978,172.88297543380344,398.9801265889524,240
1...186,17,300,15,moyenne,331.614571833768,165.807285916884,5055,0,1323.07454566119,172.8827542362375,398.97961610819135,255
1...187,18,300,15,moyenne,331.614571833768,165.807285916884,5370,0,1323.0737854431,172.8826549004913,398.979386860699,270
1...188,2,30,30,moyenne,331.614571833768,165.807285916884,90,0,741.868287076647,118.44665481112003,223.7140192526073,60
1...189,3,30,30,moyenne,331.614571833768,165.807285916884,150,0,586.372410111389,93.62019062024211,176.82347517747988,90
1...190,4,30,30,moyenne,331.614571833768,165.807285916884,210,0,509.496791823803,81.34623312492684,153.64125557160494,120
1...191,5,30,30,moyenne,331.614571833768,165.807285916884,270,0,463.763850330129,74.0445138993432,139.8502628414667,150
1...192,6,30,30,moyenne,331.614571833768,165.807285916884,330,0,433.51763854264,69.21540518915162,130.7293693836693,180
1...193,7,30,30,moyenne,331.614571833768,165.807285916884,390,0,412.089477793052,65.79418608091198,124.26760245011927,210
1...194,8,30,30,moyenne,331.614571833768,165.807285916884,450,0,396.158307226474,63.250616159258776,119.46347985729062,240
1...195,9,30,30,moyenne,331.614571833768,165.807285916884,510,0,383.884248177599,61.290940485532076,115.76217717297197,270
1...196,10,30,30,moyenne,331.614571833768,165.807285916884,570,0,374.165633904228,59.739267000988775,112.83148138972312,300
1...197,11,30,30,moyenne,331.614571833768,165.807285916884,630,0,366.30248136424,58.48383644700026,110.46030918926577,330
1...198,12,30,30,moyenne,331.614571833768,165.807285916884,690,0,359.828678387598,57.45022937705646,108.50810216143734,360
1...199,13,30,30,moyenne,331.614571833768,165.807285916884,750,0,354.42181476011,56.58696979196288,106.87763592541248,390
1...200,14,30,30,moyenne,331.614571833768,165.807285916884,810,0,349.851746085384,55.85731284852966,105.49950931009084,420
1...201,15,30,30,moyenne,331.614571833768,165.807285916884,870,0,345.949776366264,55.23432455201511,104.32285121043535,450
1...202,16,30,30,moyenne,331.614571833768,165.807285916884,930,0,342.589420468832,54.69781029205926,103.30951941417261,480
1...203,17,30,30,moyenne,331.614571833768,165.807285916884,990,0,339.673969242812,54.232329490409406,102.43035080288449,510
1...204,18,30,30,moyenne,331.614571833768,165.807285916884,1050,0,337.128207074061,53.8258732257516,101.66266373935366,540
1...205,19,30,30,moyenne,331.614571833768,165.807285916884,1110,0,334.892749416014,53.468960164255265,100.98855052240867,570
1...206,20,30,30,moyenne,331.614571833768,165.807285916884,1170,0,332.920081813358,53.15400415028464,100.39368293509261,600
1...207,2,60,30,moyenne,331.614571833768,165.807285916884,120,0,761.406016569143,121.56604775634187,229.60571737204032,60
1...208,3,60,30,moyenne,331.614571833768,165.807285916884,210,0,613.080934684422,97.88447236098395,184.87756171093338,90
1...209,4,60,30,moyenne,331.614571833768,165.807285916884,300,0,540.419088027615,86.28328544030867,162.96602559989935,120
1...210,5,60,30,moyenne,331.614571833768,165.807285916884,390,0,497.727517386359,79.4671513378316,150.09217316175724,150
1...211,6,60,30,moyenne,331.614571833768,165.807285916884,480,0,469.930042881424,75.02900790366324,141.70970843735745,180
1...212,7,60,30,moyenne,331.614571833768,165.807285916884,570,0,450.601439808986,71.94300407254694,135.88107341521282,210
1...213,8,60,30,moyenne,331.614571833768,165.807285916884,660,0,436.539842436447,69.69793011657394,131.64072978532317,240
1...214,9,60,30,moyenne,331.614571833768,165.807285916884,750,0,425.970020325734,68.01035282991576,128.45334810536147,270
1...215,10,60,30,moyenne,331.614571833768,165.807285916884,840,0,417.828038808676,66.71040445494249,125.9980936598061,300
1...216,11,60,30,moyenne,331.614571833768,165.807285916884,930,0,411.43720807804,65.69004472978047,124.070907319563,330
1...217,12,60,30,moyenne,331.614571833768,165.807285916884,1020,0,406.346476110692,64.8772587102453,122.53577213560615,360
1...218,13,60,30,moyenne,331.614571833768,165.807285916884,1110,0,402.24358381582,64.22219112501007,121.29852484813513,390
1...219,14,60,30,moyenne,331.614571833768,165.807285916884,1200,0,398.905515736759,63.68923533705668,120.2919140527765,420
1...220,15,60,30,moyenne,331.614571833768,165.807285916884,1290,0,396.168803529782,63.25229199853696,119.46664506901516,450
1...221,16,60,30,moyenne,331.614571833768,165.807285916884,1380,0,393.910978154621,62.891807708408706,118.7857867573084,480
1...222,17,60,30,moyenne,331.614571833768,165.807285916884,1470,0,392.038570636197,62.592859214634366,118.2211530899548,510
1...223,18,60,30,moyenne,331.614571833768,165.807285916884,1560,0,390.479109680162,62.34387575386566,117.75088999282626,540
1...224,19,60,30,moyenne,331.614571833768,165.807285916884,1650,0,389.17564093405,62.135763996944235,117.35782260169685,570
1...225,20,60,30,moyenne,331.614571833768,165.807285916884,1740,0,388.082883978207,61.96129447425952,117.02829638401579,600
1...226,2,90,30,moyenne,331.614571833768,165.807285916884,150,0,780.845476778354,124.66975103255031,235.46778190729714,60
1...227,3,90,30,moyenne,331.614571833768,165.807285916884,270,0,640.178579934706,102.21088109022374,193.04898949242047,90
1...228,4,90,30,moyenne,331.614571833768,165.807285916884,390,0,572.318975802774,91.37641997866017,172.58559315953897,120
