"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...89",18,72.5,60,150,"faible",287.076677829212,2.3489525614129,5.42338314927314,3.93195278322303,240.922255877963,148.178582433898,3720,223.1663699841,244.237078239655,1,265.332399249985,-24.4101433720215,24.4101433720215,-9.64342475659894
"1...90",21,70,60,150,"faible",287.076677829212,2.3489525614129,5.42338314927314,3.7963682044912,232.524988807042,148.178582433898,4350,215.910124734863,241.303639227967,1,262.124335927149,-29.5993471201072,29.5993471201072,-11.9678105842004
"1...91",2,95,420,165,"faible",287.076677829212,2.3489525614129,5.35622037049461,5.08840935196988,315.143223532113,145.97155117959,750,255.36327413815,275.170757171006,1,340.346157912578,-25.2029343804652,25.2029343804652,-7.68980706443123
"1...92",3,90,300,165,"faible",287.076677829212,2.3489525614129,5.35622037049461,4.82059833344515,297.37973072926,146.118686596544,1095,244.024013571459,267.664758590118,1,327.54615144345,-30.16642071419,30.16642071419,-9.65439952952787
"1...93",5,85,240,165,"faible",287.076677829212,2.3489525614129,5.35622037049461,4.55278731492042,279.939305191152,146.247430086379,1785,232.477516735512,258.179842609854,1,312.915838530833,-32.9765333396816,32.9765333396816,-11.1246511694755
"1...94",7,82.5,180,165,"faible",287.076677829212,2.3489525614129,5.35622037049461,4.41888180565805,271.335056448444,146.462002569436,2235,231.639104329364,253.876870338643,1,299.056155610627,-27.7210991621828,27.7210991621828,-9.72003024454451
"1...95",9,80,120,165,"faible",287.076677829212,2.3489525614129,5.35622037049461,4.28497629639569,262.805351084403,146.891147535552,2445,232.975762326306,252.16709677577,1,285.752338404923,-22.94698732052,22.94698732052,-8.36629866291081
"1...96",12,77.5,120,165,"faible",287.076677829212,2.3489525614129,5.35622037049461,4.15107078713332,254.348114619857,146.891147535552,3300,225.573742025045,246.491313399504,1,279.698100381843,-25.3499857619862,25.3499857619862,-9.493555070662
"1...97",15,75,120,165,"faible",287.076677829212,2.3489525614129,5.35622037049461,4.01716527787096,245.961272575632,146.891147535552,4155,218.546173235467,242.162375032551,1,274.920778844668,-28.9595062690368,28.9595062690368,-11.1194103118249
"1...98",18,72.5,60,165,"faible",287.076677829212,2.3489525614129,5.35622037049461,3.88325976860859,237.642750472554,148.178582433898,3990,221.675543157431,242.921918887339,1,262.026854280004,-24.3841038074502,24.3841038074502,-9.76009089827484
"1...99",21,70,60,165,"faible",287.076677829212,2.3489525614129,5.35622037049461,3.74935425934623,229.390473831452,148.178582433898,4665,214.466294324884,239.996485579696,1,258.855178443192,-29.4647046117406,29.4647046117406,-12.0696229344676
"1...100",2,95,420,180,"faible",287.076677829212,2.3489525614129,5.29490553802828,5.03016026112686,310.893506457835,145.97155117959,780,255.405429919006,274.384862441619,1,334.608627494639,-23.7151210368041,23.7151210368041,-7.34780561966357
"1...101",3,90,300,180,"faible",287.076677829212,2.3489525614129,5.29490553802828,4.76541498422545,293.439052832796,146.118686596544,1140,243.934476098161,266.875105645376,1,322.246335826735,-28.8072829939388,28.8072829939388,-9.35779329006262
"1...102",5,85,240,180,"faible",287.076677829212,2.3489525614129,5.29490553802828,4.50066970732404,276.294988115426,146.247430086379,1860,232.285728796858,257.38957309151,1,308.03249122057,-31.7375031051445,31.7375031051445,-10.8629165074385
"1...103",7,82.5,180,180,"faible",287.076677829212,2.3489525614129,5.29490553802828,4.36829706887333,267.834341473666,146.462002569436,2340,231.17598972568,253.002192443427,1,294.706682509924,-26.8723410362578,26.8723410362578,-9.55391336474036
