"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1034",9,210,90,"elevee",312.947910877278,156.473955438639,2490,256.629371967537,1,344.553296628868
"1...1035",10,210,90,"elevee",312.947910877278,156.473955438639,2790,254.51552685834,1,342.124423496312
"1...1036",11,210,90,"elevee",312.947910877278,156.473955438639,3090,252.637912808789,1,339.913175408577
"1...1037",12,210,90,"elevee",312.947910877278,156.473955438639,3390,250.948456057314,1,337.883190033538
"1...1038",13,210,90,"elevee",312.947910877278,156.473955438639,3690,249.412448723237,1,336.006618954099
"1...1039",14,210,90,"elevee",312.947910877278,156.473955438639,3990,248.004012454806,1,334.261636266943
"1...1040",15,210,90,"elevee",312.947910877278,156.473955438639,4290,246.703334754835,1,332.630804303804
"1...1041",16,210,90,"elevee",312.947910877278,156.473955438639,4590,245.4949078697,1,331.099962619726
"1...1042",17,210,90,"elevee",312.947910877278,156.473955438639,4890,244.366363652247,1,329.657449933964
"1...1043",18,210,90,"elevee",312.947910877278,156.473955438639,5190,243.307677828443,1,328.293545349418
"1...1044",2,240,90,"elevee",312.947910877278,156.473955438639,420,299.408666481497,1,382.273633498968
"1...1045",3,240,90,"elevee",312.947910877278,156.473955438639,750,282.076579073797,1,373.734189354872
"1...1046",4,240,90,"elevee",312.947910877278,156.473955438639,1080,273.42605288005,1,367.723668712633
"1...1047",5,240,90,"elevee",312.947910877278,156.473955438639,1410,267.732785414463,1,362.931656327031
"1...1048",6,240,90,"elevee",312.947910877278,156.473955438639,1740,263.497205807315,1,358.918990086432
"1...1049",7,240,90,"elevee",312.947910877278,156.473955438639,2070,260.123874514957,1,355.459559279597
"1...1050",8,240,90,"elevee",312.947910877278,156.473955438639,2400,257.319193769308,1,352.416201804604
"1...1051",9,240,90,"elevee",312.947910877278,156.473955438639,2730,254.917551317152,1,349.698123108837
"1...1052",10,240,90,"elevee",312.947910877278,156.473955438639,3060,252.816537750679,1,347.24171457014
"1...1053",11,240,90,"elevee",312.947910877278,156.473955438639,3390,250.948456057314,1,345.000543206013
