"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...115",2,210,15,"moyenne",331.614571833768,165.807285916884,240,341.027788669381,1,1325.64986586616
"1...116",3,210,15,"moyenne",331.614571833768,165.807285916884,465,304.319795733856,1,944.899926145342
"1...117",4,210,15,"moyenne",331.614571833768,165.807285916884,690,286.102689450764,1,832.169590239014
"1...118",5,210,15,"moyenne",331.614571833768,165.807285916884,915,275.398334586777,1,773.824845812486
"1...119",6,210,15,"moyenne",331.614571833768,165.807285916884,1140,267.977348490397,1,736.051771902579
"1...120",7,210,15,"moyenne",331.614571833768,165.807285916884,1365,262.345006548907,1,708.622273013339
"1...121",8,210,15,"moyenne",331.614571833768,165.807285916884,1590,257.822485532965,1,687.274597583289
"1...122",9,210,15,"moyenne",331.614571833768,165.807285916884,1815,254.050296108215,1,669.878918777494
"1...123",10,210,15,"moyenne",331.614571833768,165.807285916884,2040,250.817106832969,1,655.235940076552
"1...124",11,210,15,"moyenne",331.614571833768,165.807285916884,2265,247.988918993664,1,642.610556682098
"1...125",12,210,15,"moyenne",331.614571833768,165.807285916884,2490,245.475756318448,1,631.522643582357
"1...126",13,210,15,"moyenne",331.614571833768,165.807285916884,2715,243.21442951649,1,621.642751556334
"1...127",14,210,15,"moyenne",331.614571833768,165.807285916884,2940,241.158932660462,1,612.735731471154
"1...128",15,210,15,"moyenne",331.614571833768,165.807285916884,3165,239.274765534402,1,604.628250171256
"1...129",16,210,15,"moyenne",331.614571833768,165.807285916884,3390,237.535410308645,1,597.189073461848
"1...130",17,210,15,"moyenne",331.614571833768,165.807285916884,3615,235.920054947958,1,590.316570601687
"1...131",18,210,15,"moyenne",331.614571833768,165.807285916884,3840,234.412071013691,1,583.930501851189
"1...132",19,210,15,"moyenne",331.614571833768,165.807285916884,4065,232.997965593484,1,577.966450414197
"1...133",20,210,15,"moyenne",331.614571833768,165.807285916884,4290,231.666641108847,1,572.371944344656
"1...134",2,240,15,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,1,1355.70056553192
"1...135",3,240,15,"moyenne",331.614571833768,165.807285916884,525,298.21538279815,1,954.305293680871
"1...136",4,240,15,"moyenne",331.614571833768,165.807285916884,780,281.263010823851,1,842.873855623977
"1...137",5,240,15,"moyenne",331.614571833768,165.807285916884,1035,271.155939940061,1,784.792881516782
"1...138",6,240,15,"moyenne",331.614571833768,165.807285916884,1290,264.07476666173,1,746.944771520494
"1...139",7,240,15,"moyenne",331.614571833768,165.807285916884,1545,258.658244445777,1,719.311947353577
"1...140",8,240,15,"moyenne",331.614571833768,165.807285916884,1800,254.283183026765,1,697.711219322854
"1...141",9,240,15,"moyenne",331.614571833768,165.807285916884,2055,250.617141822035,1,680.045976584499
"1...142",10,240,15,"moyenne",331.614571833768,165.807285916884,2310,247.4634156428,1,665.131999388031
"1...143",11,240,15,"moyenne",331.614571833768,165.807285916884,2565,244.696557874279,1,652.241220524393
"1...144",12,240,15,"moyenne",331.614571833768,165.807285916884,2820,242.231902345027,1,640.896730411423
"1...145",13,240,15,"moyenne",331.614571833768,165.807285916884,3075,240.009717900654,1,630.770391847134
"1...146",14,240,15,"moyenne",331.614571833768,165.807285916884,3330,237.986339805435,1,621.627395194791
"1...147",15,240,15,"moyenne",331.614571833768,165.807285916884,3585,236.12890476434,1,613.294248055694
"1...148",16,240,15,"moyenne",331.614571833768,165.807285916884,3840,234.412071013691,1,605.639307904091
"1...149",17,240,15,"moyenne",331.614571833768,165.807285916884,4095,232.815891374092,1,598.560421169549
"1...150",18,240,15,"moyenne",331.614571833768,165.807285916884,4350,231.324386348209,1,591.976784127312
"1...151",19,240,15,"moyenne",331.614571833768,165.807285916884,4605,229.924558607018,1,585.823414656424
"1...152",20,240,15,"moyenne",331.614571833768,165.807285916884,4860,228.605694963515,1,580.047295233552
"1...153",2,270,15,"moyenne",331.614571833768,165.807285916884,300,331.614571833768,1,1385.41136254304
"1...154",3,270,15,"moyenne",331.614571833768,165.807285916884,585,293.173639914741,1,963.758142954192
"1...155",4,270,15,"moyenne",331.614571833768,165.807285916884,870,277.202760824934,1,853.023159737787
"1...156",5,270,15,"moyenne",331.614571833768,165.807285916884,1155,267.556367136221,1,794.941322600566
"1...157",6,270,15,"moyenne",331.614571833768,165.807285916884,1440,260.736195428549,1,756.879636510139
"1...158",7,270,15,"moyenne",331.614571833768,165.807285916884,1725,255.4849002964,1,728.963840814779
"1...159",8,270,15,"moyenne",331.614571833768,165.807285916884,2010,251.222422232416,1,707.061822493863
"1...160",9,270,15,"moyenne",331.614571833768,165.807285916884,2295,247.637228414503,1,689.097072174325
"1...161",10,270,15,"moyenne",331.614571833768,165.807285916884,2580,244.54389242925,1,673.893496030931
"1...162",11,270,15,"moyenne",331.614571833768,165.807285916884,2865,241.823549356725,1,660.726087289717
"1...163",12,270,15,"moyenne",331.614571833768,165.807285916884,3150,239.39561263629,1,649.118739512787
"1...164",13,270,15,"moyenne",331.614571833768,165.807285916884,3435,237.203003837009,1,638.743095774071
"1...165",14,270,15,"moyenne",331.614571833768,165.807285916884,3720,235.203851646973,1,629.363676786121
"1...166",15,270,15,"moyenne",331.614571833768,165.807285916884,4005,233.366545099036,1,620.806145680708
"1...167",16,270,15,"moyenne",331.614571833768,165.807285916884,4290,231.666641108847,1,612.937974518045
"1...168",17,270,15,"moyenne",331.614571833768,165.807285916884,4575,230.084852628689,1,605.656147686993
"1...169",18,270,15,"moyenne",331.614571833768,165.807285916884,4860,228.605694963515,1,598.879051986749
"1...170",19,270,15,"moyenne",331.614571833768,165.807285916884,5145,227.216548272886,1,592.540959626494
"1...171",2,300,15,"moyenne",331.614571833768,165.807285916884,330,324.837470612731,1,1393.22498829701
"1...172",3,300,15,"moyenne",331.614571833768,165.807285916884,645,288.90840654126,1,973.095301558433
"1...173",4,300,15,"moyenne",331.614571833768,165.807285916884,960,273.718570133765,1,862.626502403194
"1...174",5,300,15,"moyenne",331.614571833768,165.807285916884,1275,264.436823500229,1,804.359463181711
"1...175",6,300,15,"moyenne",331.614571833768,165.807285916884,1590,257.822485532965,1,765.990198136704
"1...176",7,300,15,"moyenne",331.614571833768,165.807285916884,1905,252.701112499388,1,737.739084640603
"1...177",8,300,15,"moyenne",331.614571833768,165.807285916884,2220,248.526940585683,1,715.505381417178
"1...178",9,300,15,"moyenne",331.614571833768,165.807285916884,2535,245.005019317376,1,697.223360196804
"1...179",10,300,15,"moyenne",331.614571833768,165.807285916884,2850,241.958849215098,1,681.72015283036
"1...180",11,300,15,"moyenne",331.614571833768,165.807285916884,3165,239.274765534402,1,668.271031069821
"1...181",12,300,15,"moyenne",331.614571833768,165.807285916884,3480,236.875400068021,1,656.399017619316
"1...182",13,300,15,"moyenne",331.614571833768,165.807285916884,3795,234.705764212365,1,645.774481560871
"1...183",14,300,15,"moyenne",331.614571833768,165.807285916884,4110,232.725397751465,1,636.160585354338
"1...184",15,300,15,"moyenne",331.614571833768,165.807285916884,4425,230.903673926493,1,627.381684381059
"1...185",16,300,15,"moyenne",331.614571833768,165.807285916884,4740,229.216855159697,1,619.304045924427
"1...186",17,300,15,"moyenne",331.614571833768,165.807285916884,5055,227.646172105806,1,611.823567709133
"1...187",18,300,15,"moyenne",331.614571833768,165.807285916884,5370,226.176527734321,1,604.857666419887
"1...188",2,30,30,"moyenne",331.614571833768,165.807285916884,90,421.558810315529,1,570.859081978575
"1...189",3,30,30,"moyenne",331.614571833768,165.807285916884,150,369.527948757263,1,496.037769709037
"1...190",4,30,30,"moyenne",331.614571833768,165.807285916884,210,347.766873790563,1,464.211594824967
