"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...197",8,165,15,"sprinter",375.481359910061,187.740679955031,1275,273.326767350172,1,658.430775537657
"1...198",9,165,15,"sprinter",375.481359910061,187.740679955031,1455,266.901129336148,1,632.291156261819
"1...199",10,165,15,"sprinter",375.481359910061,187.740679955031,1635,261.407150498945,1,610.226779518922
"1...200",11,165,15,"sprinter",375.481359910061,187.740679955031,1815,256.611811948888,1,591.161553768829
"1...201",12,165,15,"sprinter",375.481359910061,187.740679955031,1995,252.358825554717,1,574.389361867891
"1...202",13,165,15,"sprinter",375.481359910061,187.740679955031,2175,248.53857619845,1,559.42380171958
"1...203",14,165,15,"sprinter",375.481359910061,187.740679955031,2355,245.07136903498,1,545.916555154415
"1...204",15,165,15,"sprinter",375.481359910061,187.740679955031,2535,241.897526284076,1,533.610146200956
"1...205",16,165,15,"sprinter",375.481359910061,187.740679955031,2715,238.971243926198,1,522.309158478218
"1...206",17,165,15,"sprinter",375.481359910061,187.740679955031,2895,236.256624395988,1,511.861934288553
"1...207",18,165,15,"sprinter",375.481359910061,187.740679955031,3075,233.725025729455,1,502.14851162329
"1...208",19,165,15,"sprinter",375.481359910061,187.740679955031,3255,231.353237799975,1,493.072424199072
"1...209",20,165,15,"sprinter",375.481359910061,187.740679955031,3435,229.122195376123,1,484.554976971195
"1...210",2,180,15,"sprinter",375.481359910061,187.740679955031,210,398.436453679776,1,1491.35525418214
"1...211",3,180,15,"sprinter",375.481359910061,187.740679955031,405,346.526919427927,1,1031.1913575632
"1...212",4,180,15,"sprinter",375.481359910061,187.740679955031,600,316.512815015736,1,871.870552951952
"1...213",5,180,15,"sprinter",375.481359910061,187.740679955031,795,298.747399350092,1,787.277633212794
"1...214",6,180,15,"sprinter",375.481359910061,187.740679955031,990,286.389825474357,1,731.625235485243
"1...215",7,180,15,"sprinter",375.481359910061,187.740679955031,1185,276.996003622303,1,690.759242050915
"1...216",8,180,15,"sprinter",375.481359910061,187.740679955031,1380,269.448120864408,1,658.692705535125
"1...217",9,180,15,"sprinter",375.481359910061,187.740679955031,1575,263.151315381508,1,632.398754373915
"1...218",10,180,15,"sprinter",375.481359910061,187.740679955031,1770,257.754662935668,1,610.156853121802
"1...219",11,180,15,"sprinter",375.481359910061,187.740679955031,1965,253.035083153411,1,590.904062584005
"1...220",12,180,15,"sprinter",375.481359910061,187.740679955031,2160,248.842500160516,1,573.941449267919
"1...221",13,180,15,"sprinter",375.481359910061,187.740679955031,2355,245.07136903498,1,558.786620318552
"1...222",14,180,15,"sprinter",375.481359910061,187.740679955031,2550,241.644765878245,1,545.093500105693
"1...223",15,180,15,"sprinter",375.481359910061,187.740679955031,2745,238.504960384569,1,532.605838083771
"1...224",16,180,15,"sprinter",375.481359910061,187.740679955031,2940,235.607554564989,1,521.128843398148
"1...225",17,180,15,"sprinter",375.481359910061,187.740679955031,3135,232.917689613835,1,510.51112461497
"1...226",18,180,15,"sprinter",375.481359910061,187.740679955031,3330,230.407506441477,1,500.632769547015
"1...227",19,180,15,"sprinter",375.481359910061,187.740679955031,3525,228.054395319495,1,491.397231997218
"1...228",20,180,15,"sprinter",375.481359910061,187.740679955031,3720,225.839758605426,1,482.725660832136
"1...229",2,195,15,"sprinter",375.481359910061,187.740679955031,225,393.327716695965,1,1503.58063429766
"1...230",3,195,15,"sprinter",375.481359910061,187.740679955031,435,340.500366453011,1,1029.12749175808
"1...231",4,195,15,"sprinter",375.481359910061,187.740679955031,645,311.704197532447,1,871.553473376022
"1...232",5,195,15,"sprinter",375.481359910061,187.740679955031,855,294.524125021649,1,787.47519914174
"1...233",6,195,15,"sprinter",375.481359910061,187.740679955031,1065,282.503957853199,1,731.921934795149
"1...234",7,195,15,"sprinter",375.481359910061,187.740679955031,1275,273.326767350172,1,690.985275528524
"1...235",8,195,15,"sprinter",375.481359910061,187.740679955031,1485,265.928314535284,1,658.772260152135
"1...236",9,195,15,"sprinter",375.481359910061,187.740679955031,1695,259.740007557498,1,632.297437828091
"1...237",10,195,15,"sprinter",375.481359910061,187.740679955031,1905,254.425229147302,1,609.860244263207
"1...238",11,195,15,"sprinter",375.481359910061,187.740679955031,2115,249.76931674335,1,590.407930432872
"1...239",12,195,15,"sprinter",375.481359910061,187.740679955031,2325,245.627450573195,1,573.246925039548
"1...240",13,195,15,"sprinter",375.481359910061,187.740679955031,2535,241.897526284076,1,557.897672516035
"1...241",14,195,15,"sprinter",375.481359910061,187.740679955031,2745,238.504960384569,1,544.015557531111
"1...242",15,195,15,"sprinter",375.481359910061,187.740679955031,2955,235.3936662592,1,531.345016799024
"1...243",16,195,15,"sprinter",375.481359910061,187.740679955031,3165,232.520431842975,1,519.691505242168
"1...244",17,195,15,"sprinter",375.481359910061,187.740679955031,3375,229.851273947628,1,508.903623912791
"1...245",18,195,15,"sprinter",375.481359910061,187.740679955031,3585,227.358993033555,1,498.861309412274
"1...246",19,195,15,"sprinter",375.481359910061,187.740679955031,3795,225.021484926173,1,489.467785662334
"1...247",20,195,15,"sprinter",375.481359910061,187.740679955031,4005,222.820545513274,1,480.643932026587
"1...248",2,210,15,"sprinter",375.481359910061,187.740679955031,240,388.862152756957,1,1516.17849429099
"1...249",3,210,15,"sprinter",375.481359910061,187.740679955031,465,335.12769842841,1,1027.55853986787
"1...250",4,210,15,"sprinter",375.481359910061,187.740679955031,690,307.380158228804,1,871.386004022259
"1...251",5,210,15,"sprinter",375.481359910061,187.740679955031,915,290.702193166192,1,787.665928362699
"1...252",6,210,15,"sprinter",375.481359910061,187.740679955031,1140,278.970770161401,1,732.127777744964
"1...253",7,210,15,"sprinter",375.481359910061,187.740679955031,1365,269.978644470979,1,691.070903185942
"1...254",8,210,15,"sprinter",375.481359910061,187.740679955031,1590,262.707669069235,1,658.680525737397
"1...255",9,210,15,"sprinter",375.481359910061,187.740679955031,1815,256.611811948888,1,632.00497093706
"1...256",10,210,15,"sprinter",375.481359910061,187.740679955031,2040,251.366724913498,1,609.359547558154
"1...257",11,210,15,"sprinter",375.481359910061,187.740679955031,2265,246.764955914047,1,589.699328012133
"1...258",12,210,15,"sprinter",375.481359910061,187.740679955031,2490,242.666183097605,1,572.334652928434
"1...259",13,210,15,"sprinter",375.481359910061,187.740679955031,2715,238.971243926198,1,556.787874844413
"1...260",14,210,15,"sprinter",375.481359910061,187.740679955031,2940,235.607554564989,1,542.71522115829
"1...261",15,210,15,"sprinter",375.481359910061,187.740679955031,3165,232.520431842975,1,529.861392807816
"1...262",16,210,15,"sprinter",375.481359910061,187.740679955031,3390,229.667675668016,1,518.031793320364
"1...263",17,210,15,"sprinter",375.481359910061,187.740679955031,3615,227.016049616538,1,507.074802994203
"1...264",18,210,15,"sprinter",375.481359910061,187.740679955031,3840,224.538916349741,1,496.870051413094
