"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"5711",16,150,195,"faible",350.281232790258,175.140616395129,5370,209.650545888337,226.814134435579
"5712",1,165,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5713",2,165,195,"faible",350.281232790258,175.140616395129,555,300.804478799905,325.699394947395
"5714",3,165,195,"faible",350.281232790258,175.140616395129,915,273.586301191471,301.215055001435
"5715",4,165,195,"faible",350.281232790258,175.140616395129,1275,259.040545072449,286.771097544578
"5716",5,165,195,"faible",350.281232790258,175.140616395129,1635,249.300923342843,276.448535218458
"5717",6,165,195,"faible",350.281232790258,175.140616395129,1995,242.022885897304,268.365692230989
"5718",7,165,195,"faible",350.281232790258,175.140616395129,2355,236.224665087438,261.691851662879
"5719",8,165,195,"faible",350.281232790258,175.140616395129,2715,231.409281487884,255.987739474871
"5720",9,165,195,"faible",350.281232790258,175.140616395129,3075,227.292446890035,250.992771735592
"5721",10,165,195,"faible",350.281232790258,175.140616395129,3435,223.697019388703,246.539528177309
"5722",11,165,195,"faible",350.281232790258,175.140616395129,3795,220.505422158265,242.513950322561
"5723",12,165,195,"faible",350.281232790258,175.140616395129,4155,217.635732572915,238.83476541539
"5724",13,165,195,"faible",350.281232790258,175.140616395129,4515,215.02863398581,235.441970420762
"5725",14,165,195,"faible",350.281232790258,175.140616395129,4875,212.639818558377,232.289973320023
"5726",15,165,195,"faible",350.281232790258,175.140616395129,5235,210.435326247425,229.343298565927
"5727",1,180,195,"faible",350.281232790258,175.140616395129,195,380.641197819501,380.641197819501
"5728",2,180,195,"faible",350.281232790258,175.140616395129,570,299.13196222542,325.806333911619
"5729",3,180,195,"faible",350.281232790258,175.140616395129,945,272.074749602261,301.586666714469
"5730",4,180,195,"faible",350.281232790258,175.140616395129,1320,257.631270423044,287.204894380554
"5731",5,180,195,"faible",350.281232790258,175.140616395129,1695,247.952885374632,276.870418696812
"5732",6,180,195,"faible",350.281232790258,175.140616395129,2070,240.713985844114,268.744762419066
"5733",7,180,195,"faible",350.281232790258,175.140616395129,2445,234.94229328649,262.014064361797
"5734",8,180,195,"faible",350.281232790258,175.140616395129,2820,230.145743268049,256.246502486097
"5735",9,180,195,"faible",350.281232790258,175.140616395129,3195,226.042774651726,251.185080890642
"5736",10,180,195,"faible",350.281232790258,175.140616395129,3570,222.457856190264,246.664204290349
"5737",11,180,195,"faible",350.281232790258,175.140616395129,3945,219.274413475972,242.570769939286
