"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...258",15,120,30,"pursuiter",416.548283671423,208.274141835712,2130,0,638.494500254031
"1...259",16,120,30,"pursuiter",416.548283671423,208.274141835712,2280,0,638.199676748925
"1...260",17,120,30,"pursuiter",416.548283671423,208.274141835712,2430,0,638.001239207567
"1...261",18,120,30,"pursuiter",416.548283671423,208.274141835712,2580,0,637.867611435068
"1...262",19,120,30,"pursuiter",416.548283671423,208.274141835712,2730,0,637.777597073871
"1...263",20,120,30,"pursuiter",416.548283671423,208.274141835712,2880,0,637.716948212619
"1...264",2,150,30,"pursuiter",416.548283671423,208.274141835712,210,0,942.88350324435
"1...265",3,150,30,"pursuiter",416.548283671423,208.274141835712,390,0,821.293932626142
"1...266",4,150,30,"pursuiter",416.548283671423,208.274141835712,570,0,767.515477305153
"1...267",5,150,30,"pursuiter",416.548283671423,208.274141835712,750,0,739.870511569006
"1...268",6,150,30,"pursuiter",416.548283671423,208.274141835712,930,0,724.56095908182
"1...269",7,150,30,"pursuiter",416.548283671423,208.274141835712,1110,0,715.731794813992
"1...270",8,150,30,"pursuiter",416.548283671423,208.274141835712,1290,0,710.52050057327
"1...271",9,150,30,"pursuiter",416.548283671423,208.274141835712,1470,0,707.402427031354
"1...272",10,150,30,"pursuiter",416.548283671423,208.274141835712,1650,0,705.52156732132
"1...273",11,150,30,"pursuiter",416.548283671423,208.274141835712,1830,0,704.381443737386
"1...274",12,150,30,"pursuiter",416.548283671423,208.274141835712,2010,0,703.688281944558
"1...275",13,150,30,"pursuiter",416.548283671423,208.274141835712,2190,0,703.266100243948
"1...276",14,150,30,"pursuiter",416.548283671423,208.274141835712,2370,0,703.008681374932
"1...277",15,150,30,"pursuiter",416.548283671423,208.274141835712,2550,0,702.851619189979
"1...278",16,150,30,"pursuiter",416.548283671423,208.274141835712,2730,0,702.755749795744
"1...279",17,150,30,"pursuiter",416.548283671423,208.274141835712,2910,0,702.697217384103
"1...280",18,150,30,"pursuiter",416.548283671423,208.274141835712,3090,0,702.661475384844
"1...281",19,150,30,"pursuiter",416.548283671423,208.274141835712,3270,0,702.639648007402
"1...282",20,150,30,"pursuiter",416.548283671423,208.274141835712,3450,0,702.626317432424
"1...283",2,180,30,"pursuiter",416.548283671423,208.274141835712,240,0,966.868569543235
"1...284",3,180,30,"pursuiter",416.548283671423,208.274141835712,450,0,856.234422487957
