"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...243",19,90,30,"faible",350.281232790258,175.140616395129,2190,238.736997430221,1,355.667062780693
"1...244",20,90,30,"faible",350.281232790258,175.140616395129,2310,236.888177330281,1,352.325687084131
"1...245",2,120,30,"faible",350.281232790258,175.140616395129,180,387.89724097799,1,654.34544980777
"1...246",3,120,30,"faible",350.281232790258,175.140616395129,330,340.92083869052,1,569.220352472355
"1...247",4,120,30,"faible",350.281232790258,175.140616395129,480,310.471207424884,1,512.186743169492
"1...248",5,120,30,"faible",350.281232790258,175.140616395129,630,293.11089830392,1,479.43881253642
"1...249",6,120,30,"faible",350.281232790258,175.140616395129,780,281.441784149436,1,457.334310863294
"1...250",7,120,30,"faible",350.281232790258,175.140616395129,930,272.821461819478,1,440.958778796444
"1...251",8,120,30,"faible",350.281232790258,175.140616395129,1080,266.055963910714,1,428.080207884616
"1...252",9,120,30,"faible",350.281232790258,175.140616395129,1230,260.520023132248,1,417.525549944173
"1...253",10,120,30,"faible",350.281232790258,175.140616395129,1380,255.851038494696,1,408.612707899209
"1...254",11,120,30,"faible",350.281232790258,175.140616395129,1530,251.82238133648,1,400.914453671803
"1...255",12,120,30,"faible",350.281232790258,175.140616395129,1680,248.284045231121,1,394.147505310816
"1...256",13,120,30,"faible",350.281232790258,175.140616395129,1830,245.132136546632,1,388.115371499728
"1...257",14,120,30,"faible",350.281232790258,175.140616395129,1980,242.292009530159,1,382.676695993719
"1...258",15,120,30,"faible",350.281232790258,175.140616395129,2130,239.708382863338,1,377.726675895579
"1...259",16,120,30,"faible",350.281232790258,175.140616395129,2280,237.339262365269,1,373.185619644618
"1...260",17,120,30,"faible",350.281232790258,175.140616395129,2430,235.152050528157,1,368.991613167245
"1...261",18,120,30,"faible",350.281232790258,175.140616395129,2580,233.120969251543,1,365.095656161019
"1...262",19,120,30,"faible",350.281232790258,175.140616395129,2730,231.225301468176,1,361.458340476632
"1...263",20,120,30,"faible",350.281232790258,175.140616395129,2880,229.448160336765,1,358.047523006799
"1...264",2,150,30,"faible",350.281232790258,175.140616395129,210,374.432806151914,1,658.666634348957
"1...265",3,150,30,"faible",350.281232790258,175.140616395129,390,326.222196930961,1,566.629993110828
"1...266",4,150,30,"faible",350.281232790258,175.140616395129,570,299.13196222542,1,513.39871256415
"1...267",5,150,30,"faible",350.281232790258,175.140616395129,750,283.477153502027,1,482.401475689198
"1...268",6,150,30,"faible",350.281232790258,175.140616395129,930,272.821461819478,1,461.206490362342
"1...269",7,150,30,"faible",350.281232790258,175.140616395129,1110,264.864693087036,1,445.331062538655
"1...270",8,150,30,"faible",350.281232790258,175.140616395129,1290,258.563303202974,1,432.730312603476
"1...271",9,150,30,"faible",350.281232790258,175.140616395129,1470,253.36788090192,1,422.323455362806
"1...272",10,150,30,"faible",350.281232790258,175.140616395129,1650,248.957975129989,1,413.478237541167
"1...273",11,150,30,"faible",350.281232790258,175.140616395129,1830,245.132136546632,1,405.796251589171
"1...274",12,150,30,"faible",350.281232790258,175.140616395129,2010,241.756269712134,1,399.011773691428
"1...275",13,150,30,"faible",350.281232790258,175.140616395129,2190,238.736997430221,1,392.939458624136
"1...276",14,150,30,"faible",350.281232790258,175.140616395129,2370,236.006885325222,1,387.445262866448
"1...277",15,150,30,"faible",350.281232790258,175.140616395129,2550,233.51575121306,1,382.429310971756
"1...278",16,150,30,"faible",350.281232790258,175.140616395129,2730,231.225301468176,1,377.815304408773
"1...279",17,150,30,"faible",350.281232790258,175.140616395129,2910,229.105684767284,1,373.543707017054
"1...280",18,150,30,"faible",350.281232790258,175.140616395129,3090,227.133200813515,1,369.567208664183
"1...281",19,150,30,"faible",350.281232790258,175.140616395129,3270,225.288731545978,1,365.847615831324
"1...282",20,150,30,"faible",350.281232790258,175.140616395129,3450,223.556639256471,1,362.353665416749
"1...283",2,180,30,"faible",350.281232790258,175.140616395129,240,364.36097863776,1,664.050628651753
"1...284",3,180,30,"faible",350.281232790258,175.140616395129,450,315.103534104308,1,565.744754535945
"1...285",4,180,30,"faible",350.281232790258,175.140616395129,660,290.440434145975,1,515.254375370989
"1...286",5,180,30,"faible",350.281232790258,175.140616395129,870,275.998101236681,1,485.445310421012
"1...287",6,180,30,"faible",350.281232790258,175.140616395129,1080,266.055963910714,1,464.824364021023
"1...288",7,180,30,"faible",350.281232790258,175.140616395129,1290,258.563303202974,1,449.232672660652
"1...289",8,180,30,"faible",350.281232790258,175.140616395129,1500,252.584891102517,1,436.762423620524
"1...290",9,180,30,"faible",350.281232790258,175.140616395129,1710,247.625481578997,1,426.399082520912
"1...291",10,180,30,"faible",350.281232790258,175.140616395129,1920,243.394534680788,1,417.54553205349
"1...292",11,180,30,"faible",350.281232790258,175.140616395129,2130,239.708382863338,1,409.823312041317
"1...293",12,180,30,"faible",350.281232790258,175.140616395129,2340,236.444123006425,1,402.978622641195
"1...294",13,180,30,"faible",350.281232790258,175.140616395129,2550,233.51575121306,1,396.833536173762
"1...295",14,180,30,"faible",350.281232790258,175.140616395129,2760,230.860874922392,1,391.258768837622
"1...296",15,180,30,"faible",350.281232790258,175.140616395129,2970,228.43286823292,1,386.157573919063
"1...297",16,180,30,"faible",350.281232790258,175.140616395129,3180,226.196012768395,1,381.455747527018
