"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...204",12,77.5,120,345,"elevee",320,160,5460,244.683282972166,1,259.874983525671
"1...205",15,75,120,345,"elevee",320,160,6855,238.77580271781,1,253.694997850944
"1...206",18,72.5,60,345,"elevee",320,160,7230,237.394368087919,1,245.288094333953
"1...207",21,70,60,345,"elevee",320,160,8445,233.361701388324,1,241.131542444234
"1...208",2,95,420,360,"elevee",320,160,1140,285.347723519279,1,317.875013528751
"1...209",3,90,300,360,"elevee",320,160,1680,275.28084719247,1,304.705029794601
"1...210",5,85,240,360,"elevee",320,160,2760,262.394063748705,1,288.81397479886
"1...211",7,82.5,180,360,"elevee",320,160,3600,255.496637540574,1,276.513534521014
"1...212",9,80,120,360,"elevee",320,160,4200,251.494885389671,1,266.271476485035
"1...213",12,77.5,120,360,"elevee",320,160,5640,243.839690979724,1,258.388055375251
"1...214",15,75,120,360,"elevee",320,160,7080,237.935215430231,1,252.222666823644
"1...215",18,72.5,60,360,"elevee",320,160,7500,236.442728241238,1,243.983656307843
"1...216",21,70,60,360,"elevee",320,160,8760,232.411232752648,1,239.833344431015
"1...217",2,90,300,15,"elevee",320,160,330,317.530548328156,1,978.976074632041
"1...218",4,85,240,15,"elevee",320,160,780,295.197957163228,1,664.591589605149
"1...219",6,82.5,180,15,"elevee",320,160,990,289.005883962898,1,572.806389591472
"1...220",8,80,120,15,"elevee",320,160,960,289.807621115155,1,507.114091806543
"1...221",10,77.5,120,15,"elevee",320,160,1230,283.375278972852,1,491.253660808268
"1...222",13,75,120,15,"elevee",320,160,1635,275.982160481619,1,473.719262699646
"1...223",16,72.5,60,15,"elevee",320,160,1140,285.347723519279,1,419.226930904694
"1...224",19,70,60,15,"elevee",320,160,1365,280.671563764105,1,410.975930598077
"1...225",1,95,420,30,"elevee",320,160,30,591.705921640623,1,591.705921640623
"1...226",2,90,300,30,"elevee",320,160,360,315.270712438206,1,584.121797563404
"1...227",4,85,240,30,"elevee",320,160,840,293.274896793659,1,504.997400753594
"1...228",6,82.5,180,30,"elevee",320,160,1080,286.750586191244,1,458.004077441488
"1...229",8,80,120,30,"elevee",320,160,1080,286.750586191244,1,419.12470601975
"1...230",10,77.5,120,30,"elevee",320,160,1380,280.388139080333,1,408.540178960045
"1...231",13,75,120,30,"elevee",320,160,1830,273.057861620493,1,396.314156864775
