"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...258",12,210,15,"all around",391.34815655162,195.67407827581,2490,0,1288.03828116819
"1...259",13,210,15,"all around",391.34815655162,195.67407827581,2715,0,1287.97523993159
"1...260",14,210,15,"all around",391.34815655162,195.67407827581,2940,0,1287.94563281109
"1...261",15,210,15,"all around",391.34815655162,195.67407827581,3165,0,1287.93172723224
"1...262",16,210,15,"all around",391.34815655162,195.67407827581,3390,0,1287.92519604629
"1...263",17,210,15,"all around",391.34815655162,195.67407827581,3615,0,1287.92212843903
"1...264",18,210,15,"all around",391.34815655162,195.67407827581,3840,0,1287.92068761916
"1...265",19,210,15,"all around",391.34815655162,195.67407827581,4065,0,1287.920010881
"1...266",20,210,15,"all around",391.34815655162,195.67407827581,4290,0,1287.91969302374
"1...267",2,225,15,"all around",391.34815655162,195.67407827581,255,0,1605.90821554489
"1...268",3,225,15,"all around",391.34815655162,195.67407827581,495,0,1441.01410782966
"1...269",4,225,15,"all around",391.34815655162,195.67407827581,735,0,1380.2499508599
"1...270",5,225,15,"all around",391.34815655162,195.67407827581,975,0,1355.23043870285
"1...271",6,225,15,"all around",391.34815655162,195.67407827581,1215,0,1344.46308716263
"1...272",7,225,15,"all around",391.34815655162,195.67407827581,1455,0,1339.74139734449
"1...273",8,225,15,"all around",391.34815655162,195.67407827581,1695,0,1337.65380919702
"1...274",9,225,15,"all around",391.34815655162,195.67407827581,1935,0,1336.72748706152
"1...275",10,225,15,"all around",391.34815655162,195.67407827581,2175,0,1336.31579248202
"1...276",11,225,15,"all around",391.34815655162,195.67407827581,2415,0,1336.13268866481
"1...277",12,225,15,"all around",391.34815655162,195.67407827581,2655,0,1336.05122628122
"1...278",13,225,15,"all around",391.34815655162,195.67407827581,2895,0,1336.01497878766
"1...279",14,225,15,"all around",391.34815655162,195.67407827581,3135,0,1335.99884909624
"1...280",15,225,15,"all around",391.34815655162,195.67407827581,3375,0,1335.99167138068
"1...281",16,225,15,"all around",391.34815655162,195.67407827581,3615,0,1335.98847725634
"1...282",17,225,15,"all around",391.34815655162,195.67407827581,3855,0,1335.98705584497
"1...283",18,225,15,"all around",391.34815655162,195.67407827581,4095,0,1335.98642330375
"1...284",19,225,15,"all around",391.34815655162,195.67407827581,4335,0,1335.98614181676
"1...285",20,225,15,"all around",391.34815655162,195.67407827581,4575,0,1335.98601655224
"1...286",2,240,15,"all around",391.34815655162,195.67407827581,270,0,1628.56046032863
"1...287",3,240,15,"all around",391.34815655162,195.67407827581,525,0,1473.69766964465
"1...288",4,240,15,"all around",391.34815655162,195.67407827581,780,0,1418.66741001614
"1...289",5,240,15,"all around",391.34815655162,195.67407827581,1035,0,1396.97334583932
"1...290",6,240,15,"all around",391.34815655162,195.67407827581,1290,0,1388.07520827973
"1...291",7,240,15,"all around",391.34815655162,195.67407827581,1545,0,1384.36637349907
"1...292",8,240,15,"all around",391.34815655162,195.67407827581,1800,0,1382.81015116167
"1...293",9,240,15,"all around",391.34815655162,195.67407827581,2055,0,1382.15533631111
"1...294",10,240,15,"all around",391.34815655162,195.67407827581,2310,0,1381.87948486764
"1...295",11,240,15,"all around",391.34815655162,195.67407827581,2565,0,1381.76322047757
"1...296",12,240,15,"all around",391.34815655162,195.67407827581,2820,0,1381.71420777405
"1...297",13,240,15,"all around",391.34815655162,195.67407827581,3075,0,1381.69354404292
"1...298",14,240,15,"all around",391.34815655162,195.67407827581,3330,0,1381.68483190169
"1...299",15,240,15,"all around",391.34815655162,195.67407827581,3585,0,1381.681158674
"1...300",16,240,15,"all around",391.34815655162,195.67407827581,3840,0,1381.67960995134
"1...301",17,240,15,"all around",391.34815655162,195.67407827581,4095,0,1381.67895697016
"1...302",18,240,15,"all around",391.34815655162,195.67407827581,4350,0,1381.67868165624
"1...303",19,240,15,"all around",391.34815655162,195.67407827581,4605,0,1381.67856557664
"1...304",20,240,15,"all around",391.34815655162,195.67407827581,4860,0,1381.67851663441
"1...305",2,255,15,"all around",391.34815655162,195.67407827581,285,0,1650.75571364573
"1...306",3,255,15,"all around",391.34815655162,195.67407827581,555,0,1505.60871360556
"1...307",4,255,15,"all around",391.34815655162,195.67407827581,825,0,1455.9477785721
"1...308",5,255,15,"all around",391.34815655162,195.67407827581,1095,0,1437.22863997084
"1...309",6,255,15,"all around",391.34815655162,195.67407827581,1365,0,1429.91829338658
"1...310",7,255,15,"all around",391.34815655162,195.67407827581,1635,0,1427.0240691154
"1...311",8,255,15,"all around",391.34815655162,195.67407827581,1905,0,1425.8720247364
"1...312",9,255,15,"all around",391.34815655162,195.67407827581,2175,0,1425.41246996491
"1...313",10,255,15,"all around",391.34815655162,195.67407827581,2445,0,1425.22899512937
"1...314",11,255,15,"all around",391.34815655162,195.67407827581,2715,0,1425.15571877084
"1...315",12,255,15,"all around",391.34815655162,195.67407827581,2985,0,1425.1264496006
"1...316",13,255,15,"all around",391.34815655162,195.67407827581,3255,0,1425.11475782229
"1...317",14,255,15,"all around",391.34815655162,195.67407827581,3525,0,1425.11008735674
"1...318",15,255,15,"all around",391.34815655162,195.67407827581,3795,0,1425.1082216493
"1...319",16,255,15,"all around",391.34815655162,195.67407827581,4065,0,1425.10747635394
"1...320",17,255,15,"all around",391.34815655162,195.67407827581,4335,0,1425.1071786299
"1...321",18,255,15,"all around",391.34815655162,195.67407827581,4605,0,1425.10705969765
"1...322",19,255,15,"all around",391.34815655162,195.67407827581,4875,0,1425.10701218761
"1...323",20,255,15,"all around",391.34815655162,195.67407827581,5145,0,1425.1069932087
"1...324",2,270,15,"all around",391.34815655162,195.67407827581,300,0,1672.47633300208
"1...325",3,270,15,"all around",391.34815655162,195.67407827581,585,0,1536.70221512042
"1...326",4,270,15,"all around",391.34815655162,195.67407827581,870,0,1492.03757722709
"1...327",5,270,15,"all around",391.34815655162,195.67407827581,1155,0,1475.95872751773
"1...328",6,270,15,"all around",391.34815655162,195.67407827581,1440,0,1469.98514588094
"1...329",7,270,15,"all around",391.34815655162,195.67407827581,1725,0,1467.73997198638
"1...330",8,270,15,"all around",391.34815655162,195.67407827581,2010,0,1466.89245021453
"1...331",9,270,15,"all around",391.34815655162,195.67407827581,2295,0,1466.57199849483
"1...332",10,270,15,"all around",391.34815655162,195.67407827581,2580,0,1466.45075931399
"1...333",11,270,15,"all around",391.34815655162,195.67407827581,2865,0,1466.40487914605
"1...334",12,270,15,"all around",391.34815655162,195.67407827581,3150,0,1466.38751531878
