"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","P_coggan"
"7307",9,105,270,"moyenne",331.614571833768,165.807285916884,3270,238.446424309792,252.872299962117
"7308",10,105,270,"moyenne",331.614571833768,165.807285916884,3645,235.713109451893,249.94637094546
"7309",11,105,270,"moyenne",331.614571833768,165.807285916884,4020,233.273838776329,247.310494348743
"7310",12,105,270,"moyenne",331.614571833768,165.807285916884,4395,231.071027923494,244.910856708812
"7311",13,105,270,"moyenne",331.614571833768,165.807285916884,4770,229.062524373947,242.707468421346
"7312",14,105,270,"moyenne",331.614571833768,165.807285916884,5145,227.216548272886,240.669782750937
"7313",1,120,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7314",2,120,270,"moyenne",331.614571833768,165.807285916884,660,287.939738099878,301.228882124642
"7315",3,120,270,"moyenne",331.614571833768,165.807285916884,1050,270.674854624842,286.465378981553
"7316",4,120,270,"moyenne",331.614571833768,165.807285916884,1440,260.736195428549,277.2706096584
"7317",5,120,270,"moyenne",331.614571833768,165.807285916884,1830,253.819777826849,270.545872824107
"7318",6,120,270,"moyenne",331.614571833768,165.807285916884,2220,248.526940585683,265.221030083278
"7319",7,120,270,"moyenne",331.614571833768,165.807285916884,2610,244.241622181031,260.800841011155
"7320",8,120,270,"moyenne",331.614571833768,165.807285916884,3000,240.640951425757,257.015092964981
"7321",9,120,270,"moyenne",331.614571833768,165.807285916884,3390,237.535410308645,253.699837777947
"7322",10,120,270,"moyenne",331.614571833768,165.807285916884,3780,234.80451174576,250.747933045394
"7323",11,120,270,"moyenne",331.614571833768,165.807285916884,4170,232.366979470505,248.085408398905
"7324",12,120,270,"moyenne",331.614571833768,165.807285916884,4560,230.165424101384,245.658991591608
"7325",13,120,270,"moyenne",331.614571833768,165.807285916884,4950,228.157825436481,243.42900886507
"7326",14,120,270,"moyenne",331.614571833768,165.807285916884,5340,226.312495527174,241.365097344415
"7327",1,135,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7328",2,135,270,"moyenne",331.614571833768,165.807285916884,675,287.005197241193,301.766523071926
"7329",3,135,270,"moyenne",331.614571833768,165.807285916884,1080,269.741008395382,287.233865913242
"7330",4,135,270,"moyenne",331.614571833768,165.807285916884,1485,259.822434292634,278.116590477228
"7331",5,135,270,"moyenne",331.614571833768,165.807285916884,1890,252.920468260335,271.412297503712
"7332",6,135,270,"moyenne",331.614571833768,165.807285916884,2295,247.637228414503,266.083164346069
"7333",7,135,270,"moyenne",331.614571833768,165.807285916884,2700,243.358343297344,261.646888983079
"7334",8,135,270,"moyenne",331.614571833768,165.807285916884,3105,239.762073078962,257.839157743151
"7335",9,135,270,"moyenne",331.614571833768,165.807285916884,3510,236.659597382095,254.49896619858
"7336",10,135,270,"moyenne",331.614571833768,165.807285916884,3915,233.930863057462,251.520736397306
"7337",11,135,270,"moyenne",331.614571833768,165.807285916884,4320,231.494870925809,248.831365760199
"7338",12,135,270,"moyenne",331.614571833768,165.807285916884,4725,229.294413652539,246.378076171882
"7339",13,135,270,"moyenne",331.614571833768,165.807285916884,5130,227.287593882663,244.121478128025
"7340",1,150,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7341",2,150,270,"moyenne",331.614571833768,165.807285916884,690,286.102689450764,302.301332432306
"7342",3,150,270,"moyenne",331.614571833768,165.807285916884,1110,268.842665520356,287.989591389764
"7343",4,150,270,"moyenne",331.614571833768,165.807285916884,1530,258.943776510768,278.943870753851
"7344",5,150,270,"moyenne",331.614571833768,165.807285916884,1950,252.055519175966,272.256558425776
"7345",6,150,270,"moyenne",331.614571833768,165.807285916884,2370,246.781240012437,266.921045749896
"7346",7,150,270,"moyenne",331.614571833768,165.807285916884,2790,242.50829370901,262.467391360976
"7347",8,150,270,"moyenne",331.614571833768,165.807285916884,3210,238.916046286484,258.636869434057
"7348",9,150,270,"moyenne",331.614571833768,165.807285916884,3630,235.816346351592,255.271242311806
"7349",10,150,270,"moyenne",331.614571833768,165.807285916884,4050,233.089552076512,252.266390542622
"7350",11,150,270,"moyenne",331.614571833768,165.807285916884,4470,230.654924782468,249.550013076834
"7351",12,150,270,"moyenne",331.614571833768,165.807285916884,4890,228.455427193021,247.069782959431
"7352",13,150,270,"moyenne",331.614571833768,165.807285916884,5310,226.449276101501,244.786566216185
"7353",1,165,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7354",2,165,270,"moyenne",331.614571833768,165.807285916884,705,285.230295503619,302.833085663296
"7355",3,165,270,"moyenne",331.614571833768,165.807285916884,1140,267.977348490397,288.732811758153
"7356",4,165,270,"moyenne",331.614571833768,165.807285916884,1575,258.097681829154,279.75312143318
"7357",5,165,270,"moyenne",331.614571833768,165.807285916884,2010,251.222422232416,273.079610167448
"7358",6,165,270,"moyenne",331.614571833768,165.807285916884,2445,245.95651331187,267.735820313721
"7359",7,165,270,"moyenne",331.614571833768,165.807285916884,2880,241.689054258679,263.263625231303
"7360",8,165,270,"moyenne",331.614571833768,165.807285916884,3315,238.100488108514,259.409596200054
"7361",9,165,270,"moyenne",331.614571833768,165.807285916884,3750,235.003304034829,256.018098176685
"7362",10,165,270,"moyenne",331.614571833768,165.807285916884,4185,232.278249927959,252.986372473939
"7363",11,165,270,"moyenne",331.614571833768,165.807285916884,4620,229.844832059973,250.242858727138
"7364",12,165,270,"moyenne",331.614571833768,165.807285916884,5055,227.646172105806,247.735641838382
"7365",1,180,270,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,335.796294093084
"7366",2,180,270,"moyenne",331.614571833768,165.807285916884,720,284.386253230241,303.361591901748
"7367",3,180,270,"moyenne",331.614571833768,165.807285916884,1170,267.142820643783,289.463791773075
"7368",4,180,270,"moyenne",331.614571833768,165.807285916884,1620,257.28186967405,280.544986044425
"7369",5,180,270,"moyenne",331.614571833768,165.807285916884,2070,250.418930179536,273.882351354516
"7370",6,180,270,"moyenne",331.614571833768,165.807285916884,2520,245.160844142463,268.528557078106
"7371",7,180,270,"moyenne",331.614571833768,165.807285916884,2970,240.898459547653,264.036775323215
"7372",8,180,270,"moyenne",331.614571833768,165.807285916884,3420,237.313265375756,260.158602511084
"7373",9,180,270,"moyenne",331.614571833768,165.807285916884,3870,234.218363482976,256.740853721193
"7374",10,180,270,"moyenne",331.614571833768,165.807285916884,4320,231.494870925809,253.682040716566
"7375",11,180,270,"moyenne",331.614571833768,165.807285916884,4770,229.062524373947,250.911287837108
"7376",12,180,270,"moyenne",331.614571833768,165.807285916884,5220,226.864594167269,248.37705581833
