X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,Wbal_skiba,power_skiba,percent_power_max,percent_PAM,cumul_time
1...203,17,30,30,faible,350.281232790258,175.140616395129,990,0,330.968785965315,42.90790679159395,94.48658819911516,510
1...204,18,30,30,faible,350.281232790258,175.140616395129,1050,0,327.038067319378,42.3983152033965,93.36442741001841,540
1...205,19,30,30,faible,350.281232790258,175.140616395129,1110,0,323.539781605824,41.94478567525765,92.36571969002794,570
1...206,20,30,30,faible,350.281232790258,175.140616395129,1170,0,320.408850536904,41.53888123903023,91.47188617117806,600
1...207,2,60,30,faible,350.281232790258,175.140616395129,120,0,904.510720843262,117.2638126243344,258.2241456780719,60
1...208,3,60,30,faible,350.281232790258,175.140616395129,210,0,694.98873374751,90.10067738524201,198.40878376822903,90
1...209,4,60,30,faible,350.281232790258,175.140616395129,300,0,591.427219777747,76.6746143332519,168.84353611142018,120
1...210,5,60,30,faible,350.281232790258,175.140616395129,390,0,529.838669131783,68.6900674436146,151.26093536648045,150
1...211,6,60,30,faible,350.281232790258,175.140616395129,480,0,489.122534846815,63.4114908258289,139.63709415733746,180
1...212,7,60,30,faible,350.281232790258,175.140616395129,570,0,460.290885072866,59.67365875945957,131.40609372825855,210
1...213,8,60,30,faible,350.281232790258,175.140616395129,660,0,438.867594406813,56.89627128955912,125.2900679008398,240
1...214,9,60,30,faible,350.281232790258,175.140616395129,750,0,422.372839175303,54.75783573298685,120.58106448089731,270
1...215,10,60,30,faible,350.281232790258,175.140616395129,840,0,409.321745927831,53.065848100504745,116.85517453141013,300
1...216,11,60,30,faible,350.281232790258,175.140616395129,930,0,398.770827278065,51.69799151345701,113.84304665755292,330
1...217,12,60,30,faible,350.281232790258,175.140616395129,1020,0,390.091807259845,50.57281416207019,111.36531756282382,360
1...218,13,60,30,faible,350.281232790258,175.140616395129,1110,0,382.850093229558,49.633973994056596,109.29791761318872,390
1...219,14,60,30,faible,350.281232790258,175.140616395129,1200,0,376.735451012192,48.841251207339845,107.55227963862235,420
1...220,15,60,30,faible,350.281232790258,175.140616395129,1290,0,371.520469598318,48.165163473646885,106.06348123160161,450
1...221,16,60,30,faible,350.281232790258,175.140616395129,1380,0,367.03463302939,47.5836045304961,104.78284266207423,480
1...222,17,60,30,faible,350.281232790258,175.140616395129,1470,0,363.147560806388,47.07967141139452,103.67314226732614,510
1...223,18,60,30,faible,350.281232790258,175.140616395129,1560,0,359.757844886981,46.640217236597685,102.70542958331926,540
1...224,19,60,30,faible,350.281232790258,175.140616395129,1650,0,356.785417849259,46.254861796182354,101.85684657073695,570
1...225,20,60,30,faible,350.281232790258,175.140616395129,1740,0,354.166214295133,45.91529943642428,101.10910352630889,600
1...226,2,90,30,faible,350.281232790258,175.140616395129,150,0,918.205583914715,119.03926074243923,262.1338221863915,60
1...227,3,90,30,faible,350.281232790258,175.140616395129,270,0,713.629514468583,92.51733090551134,203.73044504382324,90
1...228,4,90,30,faible,350.281232790258,175.140616395129,390,0,612.925783622937,79.46176047131465,174.9810512942741,120
1...229,5,90,30,faible,350.281232790258,175.140616395129,510,0,553.370503096906,71.74081355994647,157.97891845043668,150
1...230,6,90,30,faible,350.281232790258,175.140616395129,630,0,514.274223299844,66.67224032716369,146.81752122523278,180
