"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","Wbal_skiba","power_skiba"
"1...231",7,90,30,"elevee",331.614571833768,165.807285916884,750,0,491.747275582521
"1...232",8,90,30,"elevee",331.614571833768,165.807285916884,870,0,479.997269676736
"1...233",9,90,30,"elevee",331.614571833768,165.807285916884,990,0,471.503499903905
"1...234",10,90,30,"elevee",331.614571833768,165.807285916884,1110,0,465.236617127119
"1...235",11,90,30,"elevee",331.614571833768,165.807285916884,1230,0,460.542615186584
"1...236",12,90,30,"elevee",331.614571833768,165.807285916884,1350,0,456.986918534813
"1...237",13,90,30,"elevee",331.614571833768,165.807285916884,1470,0,454.270447706507
"1...238",14,90,30,"elevee",331.614571833768,165.807285916884,1590,0,452.181592089045
"1...239",15,90,30,"elevee",331.614571833768,165.807285916884,1710,0,450.567304285182
"1...240",16,90,30,"elevee",331.614571833768,165.807285916884,1830,0,449.314945087722
"1...241",17,90,30,"elevee",331.614571833768,165.807285916884,1950,0,448.340458061451
"1...242",18,90,30,"elevee",331.614571833768,165.807285916884,2070,0,447.58042266491
"1...243",19,90,30,"elevee",331.614571833768,165.807285916884,2190,0,446.986568810732
"1...244",20,90,30,"elevee",331.614571833768,165.807285916884,2310,0,446.521902780161
"1...245",2,120,30,"elevee",331.614571833768,165.807285916884,180,0,800.125747808359
"1...246",3,120,30,"elevee",331.614571833768,165.807285916884,330,0,667.483638133583
"1...247",4,120,30,"elevee",331.614571833768,165.807285916884,480,0,604.84914111253
"1...248",5,120,30,"elevee",331.614571833768,165.807285916884,630,0,569.804114357806
"1...249",6,120,30,"elevee",331.614571833768,165.807285916884,780,0,548.320085050223
"1...250",7,120,30,"elevee",331.614571833768,165.807285916884,930,0,534.404686803143
"1...251",8,120,30,"elevee",331.614571833768,165.807285916884,1080,0,525.067867864452
"1...252",9,120,30,"elevee",331.614571833768,165.807285916884,1230,0,518.653943164758
"1...253",10,120,30,"elevee",331.614571833768,165.807285916884,1380,0,514.176350588403
"1...254",11,120,30,"elevee",331.614571833768,165.807285916884,1530,0,511.015258186072
"1...255",12,120,30,"elevee",331.614571833768,165.807285916884,1680,0,508.765874231212
"1...256",13,120,30,"elevee",331.614571833768,165.807285916884,1830,0,507.156227271886
"1...257",14,120,30,"elevee",331.614571833768,165.807285916884,1980,0,505.999734866795
"1...258",15,120,30,"elevee",331.614571833768,165.807285916884,2130,0,505.166422078158
"1...259",16,120,30,"elevee",331.614571833768,165.807285916884,2280,0,504.564727808249
"1...260",17,120,30,"elevee",331.614571833768,165.807285916884,2430,0,504.129621664825
"1...261",18,120,30,"elevee",331.614571833768,165.807285916884,2580,0,503.814639772742
"1...262",19,120,30,"elevee",331.614571833768,165.807285916884,2730,0,503.586439111653
"1...263",20,120,30,"elevee",331.614571833768,165.807285916884,2880,0,503.421016379949
"1...264",2,150,30,"elevee",331.614571833768,165.807285916884,210,0,819.1879110683
"1...265",3,150,30,"elevee",331.614571833768,165.807285916884,390,0,694.814848189
"1...266",4,150,30,"elevee",331.614571833768,165.807285916884,570,0,637.658566359441
"1...267",5,150,30,"elevee",331.614571833768,165.807285916884,750,0,606.7934326101
"1...268",6,150,30,"elevee",331.614571833768,165.807285916884,930,0,588.667485721268
"1...269",7,150,30,"elevee",331.614571833768,165.807285916884,1110,0,577.494886095218
"1...270",8,150,30,"elevee",331.614571833768,165.807285916884,1290,0,570.401655102406
"1...271",9,150,30,"elevee",331.614571833768,165.807285916884,1470,0,565.813486392073
"1...272",10,150,30,"elevee",331.614571833768,165.807285916884,1650,0,562.809760983364
"1...273",11,150,30,"elevee",331.614571833768,165.807285916884,1830,0,560.82780057284
"1...274",12,150,30,"elevee",331.614571833768,165.807285916884,2010,0,559.513243900343
"1...275",13,150,30,"elevee",331.614571833768,165.807285916884,2190,0,558.638351958218
"1...276",14,150,30,"elevee",331.614571833768,165.807285916884,2370,0,558.054744121713
"1...277",15,150,30,"elevee",331.614571833768,165.807285916884,2550,0,557.664847907813
"1...278",16,150,30,"elevee",331.614571833768,165.807285916884,2730,0,557.404101372323
"1...279",17,150,30,"elevee",331.614571833768,165.807285916884,2910,0,557.229606219815
"1...280",18,150,30,"elevee",331.614571833768,165.807285916884,3090,0,557.11277853308
"1...281",19,150,30,"elevee",331.614571833768,165.807285916884,3270,0,557.034536438383
"1...282",20,150,30,"elevee",331.614571833768,165.807285916884,3450,0,556.982125281379
"1...283",2,180,30,"elevee",331.614571833768,165.807285916884,240,0,837.975749831349
"1...284",3,180,30,"elevee",331.614571833768,165.807285916884,450,0,721.996209569233
"1...285",4,180,30,"elevee",331.614571833768,165.807285916884,660,0,670.408319682417
