"","Nrep","rest","interval_duration","profil","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...227",19,180,15,"all around",391.34815655162,195.67407827581,3525,264.369875038729,1,614.403094262835
"1...228",20,180,15,"all around",391.34815655162,195.67407827581,3720,262.393316971086,1,606.57754641239
"1...229",2,195,15,"all around",391.34815655162,195.67407827581,225,405.152165635096,1,1541.12040225266
"1...230",3,195,15,"all around",391.34815655162,195.67407827581,435,361.949027382071,1,1103.48639911203
"1...231",4,195,15,"all around",391.34815655162,195.67407827581,645,337.491744093765,1,961.075824007409
"1...232",5,195,15,"all around",391.34815655162,195.67407827581,855,322.744440637665,1,885.320064944209
"1...233",6,195,15,"all around",391.34815655162,195.67407827581,1065,312.344009513193,1,835.297902546808
"1...234",7,195,15,"all around",391.34815655162,195.67407827581,1275,304.355094715928,1,798.434473461916
"1...235",8,195,15,"all around",391.34815655162,195.67407827581,1485,297.883948836999,1,769.41792157055
"1...236",9,195,15,"all around",391.34815655162,195.67407827581,1695,292.450688191508,1,745.561415428849
"1...237",10,195,15,"all around",391.34815655162,195.67407827581,1905,287.769919970406,1,725.335755666282
"1...238",11,195,15,"all around",391.34815655162,195.67407827581,2115,283.658897363843,1,707.794666230742
"1...239",12,195,15,"all around",391.34815655162,195.67407827581,2325,279.993872631653,1,692.314823401356
"1...240",13,195,15,"all around",391.34815655162,195.67407827581,2535,276.687304048194,1,678.465247460214
"1...241",14,195,15,"all around",391.34815655162,195.67407827581,2745,273.675050409448,1,665.936204563287
"1...242",15,195,15,"all around",391.34815655162,195.67407827581,2955,270.908744080082,1,654.497966683563
"1...243",16,195,15,"all around",391.34815655162,195.67407827581,3165,268.351026202826,1,643.975624657736
"1...244",17,195,15,"all around",391.34815655162,195.67407827581,3375,265.97244918554,1,634.233033754846
"1...245",18,195,15,"all around",391.34815655162,195.67407827581,3585,263.749394142195,1,625.16220513516
"1...246",19,195,15,"all around",391.34815655162,195.67407827581,3795,261.662629758386,1,616.676076871287
"1...247",20,195,15,"all around",391.34815655162,195.67407827581,4005,259.696289798371,1,608.703455205933
"1...248",2,210,15,"all around",391.34815655162,195.67407827581,240,401.696731891966,1,1560.20270652673
"1...249",3,210,15,"all around",391.34815655162,195.67407827581,465,357.406946900473,1,1107.35340360006
"1...250",4,210,15,"all around",391.34815655162,195.67407827581,690,333.792289806829,1,965.618836357086
"1...251",5,210,15,"all around",391.34815655162,195.67407827581,915,319.445182776838,1,889.914341238684
"1...252",6,210,15,"all around",391.34815655162,195.67407827581,1140,309.273307885929,1,839.748187770687
"1...253",7,210,15,"all around",391.34815655162,195.67407827581,1365,301.429983872184,1,802.673173775495
"1...254",8,210,15,"all around",391.34815655162,195.67407827581,1590,295.058561106712,1,773.423780623739
"1...255",9,210,15,"all around",391.34815655162,195.67407827581,1815,289.697242600928,1,749.331951795006
"1...256",10,210,15,"all around",391.34815655162,195.67407827581,2040,285.070437125241,1,728.876453552713
"1...257",11,210,15,"all around",391.34815655162,195.67407827581,2265,281.001139435648,1,711.114313760018
"1...258",12,210,15,"all around",391.34815655162,195.67407827581,2490,277.369172446844,1,695.423378438542
"1...259",13,210,15,"all around",391.34815655162,195.67407827581,2715,274.089323046254,1,681.372830826678
"1...260",14,210,15,"all around",391.34815655162,195.67407827581,2940,271.099028527729,1,668.652626338918
"1...261",15,210,15,"all around",391.34815655162,195.67407827581,3165,268.351026202826,1,657.032514858237
"1...262",16,210,15,"all around",391.34815655162,195.67407827581,3390,265.808751937894,1,646.336985912503
"1...263",17,210,15,"all around",391.34815655162,195.67407827581,3615,263.443343159421,1,636.429281103637
"1...264",18,210,15,"all around",391.34815655162,195.67407827581,3840,261.231620370047,1,627.200818716444
