X,Nrep,rest,interval_duration,niveau_endurance,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...477,11,180,45,faible,350.281232790258,175.140616395129,2295,237.112827243112,1,357.363279978024,54.85988746097973,102.02181747830225,495
1...478,12,180,45,faible,350.281232790258,175.140616395129,2520,233.91608907045,1,352.161316979845,54.06131883167391,100.53673563228345,540
1...479,13,180,45,faible,350.281232790258,175.140616395129,2745,231.042504307386,1,347.458175063415,53.33932569274752,99.19405966903932,585
1...480,14,180,45,faible,350.281232790258,175.140616395129,2970,228.43286823292,1,343.166086482144,52.68043455945715,97.96873322289167,630
1...481,15,180,45,faible,350.281232790258,175.140616395129,3195,226.042774651726,1,339.218544680562,52.07443581499851,96.8417696770183,675
1...482,16,180,45,faible,350.281232790258,175.140616395129,3420,223.838095655874,1,335.563969996477,51.513411313827106,95.79844381711611,720
1...483,17,180,45,faible,350.281232790258,175.140616395129,3645,221.792055021288,1,332.161563485519,50.99109789007764,94.82710816094772,765
1...484,18,180,45,faible,350.281232790258,175.140616395129,3870,219.88326862388,1,328.978503058968,50.502456928441,93.9183924980515,810
1...485,19,180,45,faible,350.281232790258,175.140616395129,4095,218.094393908462,1,325.98799350136,50.04337501663559,93.06464719922796,855
1...486,20,180,45,faible,350.281232790258,175.140616395129,4320,216.411175481222,1,323.167876943798,49.61045063508131,92.25954652766252,900
1...487,2,210,45,faible,350.281232790258,175.140616395129,300,350.281232790258,1,527.570458954342,80.98889177352648,150.61339562837543,90
1...488,3,210,45,faible,350.281232790258,175.140616395129,555,300.804478799905,1,463.9824988975,71.22731712935445,132.4599937032094,135
1...489,4,210,45,faible,350.281232790258,175.140616395129,810,279.524411396216,1,433.805191272463,66.59470993958749,123.8448282875085,180
1...490,5,210,45,faible,350.281232790258,175.140616395129,1065,266.669522840233,1,414.573230659337,63.642355139858296,118.3543940841318,225
1...491,6,210,45,faible,350.281232790258,175.140616395129,1320,257.631270423044,1,400.575736853145,61.49355872465113,114.35832107311397,270
1...492,7,210,45,faible,350.281232790258,175.140616395129,1575,250.714828001176,1,389.601835034437,59.80892280229452,111.22543789484818,315
1...493,8,210,45,faible,350.281232790258,175.140616395129,1830,245.132136546632,1,380.584553385466,58.42465339303421,108.65114021491213,360
1...494,9,210,45,faible,350.281232790258,175.140616395129,2085,240.459246822534,1,372.932919812004,57.25002863371761,106.46671442866294,405
1...495,10,210,45,faible,350.281232790258,175.140616395129,2340,236.444123006425,1,366.287148316801,56.22981671843452,104.56944706944293,450
1...496,11,210,45,faible,350.281232790258,175.140616395129,2595,232.925614157786,1,360.412570573305,55.327993022645785,102.89234387533214,495
1...497,12,210,45,faible,350.281232790258,175.140616395129,2850,229.794812153135,1,355.147886747735,54.51979593477999,101.38935618066387,540
1...498,13,210,45,faible,350.281232790258,175.140616395129,3105,226.974841750839,1,350.377565997112,53.78748997556658,100.02750167517873,585
1...499,14,210,45,faible,350.281232790258,175.140616395129,3360,224.409502957172,1,346.01606857009,53.11794368636056,98.782360052180735,630
1...500,15,210,45,faible,350.281232790258,175.140616395129,3615,222.056509502089,1,341.998309483841,52.50116568015214,97.63535053236019,675
1...501,16,210,45,faible,350.281232790258,175.140616395129,3870,219.88326862388,1,338.273625304059,51.929378464232535,96.57200947063329,720
1...502,17,210,45,faible,350.281232790258,175.140616395129,4125,217.86414091853501,1,334.801808777646,51.39640970500271,95.58085830368171,765
1...503,18,210,45,faible,350.281232790258,175.140616395129,4380,215.978600612952,1,331.550416927347,50.89727898566881,94.65263505163958,810
1...504,19,210,45,faible,350.281232790258,175.140616395129,4635,214.209964366832,1,328.492892215928,50.42790938063294,93.77975793885125,855
1...505,20,210,45,faible,350.281232790258,175.140616395129,4890,212.544490733794,1,325.607219242007,49.984921240921906,92.95594190082534,900
1...506,2,240,45,faible,350.281232790258,175.140616395129,330,340.92083869052,1,525.649696083195,80.69402981972743,150.06504684707,90
1...507,3,240,45,faible,350.281232790258,175.140616395129,615,294.52521183374,1,465.190577512222,71.41277282824925,132.8048818963617,135
1...508,4,240,45,faible,350.281232790258,175.140616395129,900,274.370092184782,1,436.017901898976,66.93438965139696,124.47652374229696,180
1...509,5,240,45,faible,350.281232790258,175.140616395129,1185,262.076651218316,1,417.176034904255,64.0419192695807,119.09745537353764,225
1...510,6,240,45,faible,350.281232790258,175.140616395129,1470,253.36788090192,1,403.329578644554,61.916309072060436,115.14450130020535,270
1...511,7,240,45,faible,350.281232790258,175.140616395129,1755,246.664998456902,1,392.397319063411,60.23806577198606,112.02350635164382,315
1...512,8,240,45,faible,350.281232790258,175.140616395129,2040,241.230378600993,1,383.366619270533,58.85173650401639,109.4453779943403,360
1...513,9,240,45,faible,350.281232790258,175.140616395129,2325,236.665284937855,1,375.672314981347,57.670561237712484,107.24877036341044,405
1...514,10,240,45,faible,350.281232790258,175.140616395129,2610,232.731591716524,1,368.967983265258,56.64135957080273,105.33478494584072,450
1...515,11,240,45,faible,350.281232790258,175.140616395129,2895,229.276406817376,1,363.026313766348,55.729236422446284,103.63852806916478,495
1...516,12,240,45,faible,350.281232790258,175.140616395129,3180,226.196012768395,1,357.690240593593,54.910080146068665,102.11515979440765,540
1...517,13,240,45,faible,350.281232790258,175.140616395129,3465,223.41694839664,1,352.846745021374,54.16654090491879,100.73241498286383,585
1...518,14,240,45,faible,350.281232790258,175.140616395129,3750,220.885344352367,1,348.411806579967,53.48572046973887,99.46630705978747,630
1...519,15,240,45,faible,350.281232790258,175.140616395129,4035,218.56055550957,1,344.321266322056,52.85776961195236,98.29851961501724,675
1...520,16,240,45,faible,350.281232790258,175.140616395129,4320,216.411175481222,1,340.525022296919,52.274997033845736,97.21474929854983,720
