"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...186",7,30,30,"moyenne",331.614571833768,165.807285916884,390,314.165032032959,1,357.034719466639
"1...187",8,30,30,"moyenne",331.614571833768,165.807285916884,450,306.059950830487,1,344.592561195096
"1...188",9,30,30,"moyenne",331.614571833768,165.807285916884,510,299.627738291157,1,334.713726670462
"1...189",10,30,30,"moyenne",331.614571833768,165.807285916884,570,294.352147156453,1,326.608223851566
"1...190",11,30,30,"moyenne",331.614571833768,165.807285916884,630,289.913493224091,1,319.786513165614
"1...191",12,30,30,"moyenne",331.614571833768,165.807285916884,690,286.102689450764,1,313.928240344278
"1...192",13,30,30,"moyenne",331.614571833768,165.807285916884,750,282.776866287912,1,308.814409851714
"1...193",14,30,30,"moyenne",331.614571833768,165.807285916884,810,279.83483713098,1,304.289862040116
"1...194",15,30,30,"moyenne",331.614571833768,165.807285916884,870,277.202760824934,1,300.241333259986
"1...195",16,30,30,"moyenne",331.614571833768,165.807285916884,930,274.825368753978,1,296.584024919828
"1...196",17,30,30,"moyenne",331.614571833768,165.807285916884,990,272.660384516007,1,293.25305690277
"1...197",18,30,30,"moyenne",331.614571833768,165.807285916884,1050,270.674854624842,1,290.197845936667
"1...198",19,30,30,"moyenne",331.614571833768,165.807285916884,1110,268.842665520356,1,287.378300356971
"1...199",1,60,30,"moyenne",331.614571833768,165.807285916884,30,626.331143129083,1,626.331143129083
"1...200",2,60,30,"moyenne",331.614571833768,165.807285916884,120,388.8977442528,1,536.721076897867
"1...201",3,60,30,"moyenne",331.614571833768,165.807285916884,210,347.766873790563,1,462.771666539934
"1...202",4,60,30,"moyenne",331.614571833768,165.807285916884,300,331.614571833768,1,433.450120701403
"1...203",5,60,30,"moyenne",331.614571833768,165.807285916884,390,314.165032032959,1,401.402232739179
"1...204",6,60,30,"moyenne",331.614571833768,165.807285916884,480,302.673062316431,1,380.254941510259
"1...205",7,60,30,"moyenne",331.614571833768,165.807285916884,570,294.352147156453,1,364.923064192749
"1...206",8,60,30,"moyenne",331.614571833768,165.807285916884,660,287.939738099878,1,353.096567129659
"1...207",9,60,30,"moyenne",331.614571833768,165.807285916884,750,282.776866287912,1,343.567686559959
"1...208",10,60,30,"moyenne",331.614571833768,165.807285916884,840,278.483867386929,1,335.639699590981
"1...209",11,60,30,"moyenne",331.614571833768,165.807285916884,930,274.825368753978,1,328.880255695741
"1...210",12,60,30,"moyenne",331.614571833768,165.807285916884,1020,271.64695704768,1,323.005495484068
"1...211",13,60,30,"moyenne",331.614571833768,165.807285916884,1110,268.842665520356,1,317.820493043039
"1...212",14,60,30,"moyenne",331.614571833768,165.807285916884,1200,266.33705680383,1,313.186404643288
"1...213",15,60,30,"moyenne",331.614571833768,165.807285916884,1290,264.07476666173,1,309.001282680736
"1...214",16,60,30,"moyenne",331.614571833768,165.807285916884,1380,262.014106032336,1,305.188328638183
"1...215",17,60,30,"moyenne",331.614571833768,165.807285916884,1470,260.122987313076,1,301.688409380889
"1...216",18,60,30,"moyenne",331.614571833768,165.807285916884,1560,258.376240994699,1,298.455125248853
"1...217",19,60,30,"moyenne",331.614571833768,165.807285916884,1650,256.75379557737,1,295.451463394028
"1...218",1,90,30,"moyenne",331.614571833768,165.807285916884,30,626.331143129083,1,626.331143129083
"1...219",2,90,30,"moyenne",331.614571833768,165.807285916884,150,369.527948757263,1,553.564279669133
"1...220",3,90,30,"moyenne",331.614571833768,165.807285916884,270,335.796294093084,1,485.008092380515
"1...221",4,90,30,"moyenne",331.614571833768,165.807285916884,390,314.165032032959,1,440.092920061183
"1...222",5,90,30,"moyenne",331.614571833768,165.807285916884,510,299.627738291157,1,409.719145098154
"1...223",6,90,30,"moyenne",331.614571833768,165.807285916884,630,289.913493224091,1,389.373257889994
"1...224",7,90,30,"moyenne",331.614571833768,165.807285916884,750,282.776866287912,1,374.401483904383
"1...225",8,90,30,"moyenne",331.614571833768,165.807285916884,870,277.202760824934,1,362.693629109029
"1...226",9,90,30,"moyenne",331.614571833768,165.807285916884,990,272.660384516007,1,353.144001069235
"1...227",10,90,30,"moyenne",331.614571833768,165.807285916884,1110,268.842665520356,1,345.111954585426
"1...228",11,90,30,"moyenne",331.614571833768,165.807285916884,1230,265.558218164603,1,338.197715736022
"1...229",12,90,30,"moyenne",331.614571833768,165.807285916884,1350,262.680733965279,1,332.137183287708
"1...230",13,90,30,"moyenne",331.614571833768,165.807285916884,1470,260.122987313076,1,326.747821857897
