"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_velocity","max_velocity","interval_velocity","interval_power","rest_power","duration","PN","PC","DR","power_cogganMOD","err","abs_error","percent_error"
"1...99",21,70,60,165,"moyenne",287.074791960115,2.34893786687458,5.0928665151988,3.56500656063916,218.134123211123,148.177721099902,4665,204.824987463244,239.996485579696,1,258.855243182237,-40.7211199711138,40.7211199711138,-17.0742254818034
"1...100",2,95,420,180,"moyenne",287.074791960115,2.34893786687458,5.05607760013935,4.80327372013239,295.915656739926,145.970717458927,780,243.988338204912,274.384862441619,1,334.608759196397,-38.6931024564705,38.6931024564705,-12.2733082109157
"1...101",3,90,300,180,"moyenne",287.074791960115,2.34893786687458,5.05607760013935,4.55046984012542,279.496924608091,146.117851034992,1140,233.336777727014,266.875105645376,1,322.246463823359,-42.7495392152686,42.7495392152686,-14.2085613359883
"1...102",5,85,240,180,"moyenne",287.074791960115,2.34893786687458,5.05607760013935,4.29766596011845,263.349343681978,146.246592914049,1860,222.510272327882,257.38957309151,1,308.032615932166,-44.6832722501883,44.6832722501883,-15.6404210872752
"1...103",7,82.5,180,180,"moyenne",287.074791960115,2.34893786687458,5.05607760013935,4.17126402011497,255.372872626687,146.461162712477,2340,221.449258245834,253.002192443427,1,294.706788071892,-39.3339154452049,39.3339154452049,-14.3011706323598
"1...104",9,80,120,180,"moyenne",287.074791960115,2.34893786687458,5.05607760013935,4.04486208011148,247.458954619571,146.890302309333,2580,222.230647632485,251.146196286213,1,282.015701480587,-34.5567468610156,34.5567468610156,-13.0532203809501
"1...105",12,77.5,120,180,"moyenne",287.074791960115,2.34893786687458,5.05607760013935,3.918460140108,239.605844742878,146.890302309333,3480,215.366076290536,245.491082041479,1,276.030946730149,-36.4251019872706,36.4251019872706,-14.1282013190775
"1...106",15,75,120,180,"moyenne",287.074791960115,2.34893786687458,5.05607760013935,3.79205820010452,231.811798078855,146.890302309333,4380,208.836382893267,241.175044466708,1,271.313311164331,-39.5015130854752,39.5015130854752,-15.7024614195441
"1...107",18,72.5,60,180,"moyenne",287.074791960115,2.34893786687458,5.05607760013935,3.66565626010103,224.075069709751,148.177721099902,4260,210.970630881958,241.694994922826,1,259.140911723593,-35.0658420138419,35.0658420138419,-14.5135274333549
"1...108",21,70,60,180,"moyenne",287.074791960115,2.34893786687458,5.05607760013935,3.53925432009755,216.393914717814,148.177721099902,4980,204.250018641965,238.776715449343,1,255.999475249838,-39.6055605320244,39.6055605320244,-16.7680417944614
"1...109",2,95,420,195,"moyenne",287.074791960115,2.34893786687458,5.02223525506618,4.77112349231287,293.539693437556,145.970717458927,810,244.837381893087,273.630523252254,1,329.614727838801,-36.0750344012452,36.0750344012452,-11.5782005774285
"1...110",3,90,300,195,"moyenne",287.074791960115,2.34893786687458,5.02223525506618,4.52001172955956,277.292887264997,146.117851034992,1185,234.009714660691,266.11751653756,1,317.619090482601,-40.3262032176041,40.3262032176041,-13.5570318722724
"1...111",5,85,240,195,"moyenne",287.074791960115,2.34893786687458,5.02223525506618,4.26889996680625,261.310446141529,146.246592914049,1935,223.030400678007,256.631628551382,1,303.756458204003,-42.4460120624744,42.4460120624744,-15.0233580257672
"1...112",7,82.5,180,195,"moyenne",287.074791960115,2.34893786687458,5.02223525506618,4.1433440854296,253.41408718955,146.461162712477,2445,221.731212922664,252.16709677577,1,290.891408345376,-37.4773211558256,37.4773211558256,-13.7706936502613
"1...113",9,80,120,195,"moyenne",287.074791960115,2.34893786687458,5.02223525506618,4.01778820405294,245.57868915946,146.890302309333,2715,222.157413983351,250.178879396854,1,278.731134766606,-33.1524456071462,33.1524456071462,-12.6461279549937
"1...114",12,77.5,120,195,"moyenne",287.074791960115,2.34893786687458,5.02223525506618,3.89223232267629,237.802541937796,146.890302309333,3660,215.293942726694,244.542627872845,1,272.804399549138,-35.0018576113417,35.0018576113417,-13.7099027715577
"1...115",15,75,120,195,"moyenne",287.074791960115,2.34893786687458,5.02223525506618,3.76667644129963,230.083935411098,146.890302309333,4605,208.752379355906,240.238363209352,1,268.1369342434,-38.0529988323018,38.0529988323018,-15.2755539360246
"1...116",18,72.5,60,195,"moyenne",287.074791960115,2.34893786687458,5.02223525506618,3.64112055992298,222.421159465904,148.177721099902,4530,210.377752156409,240.545286613086,1,256.587381329515,-34.1662218636118,34.1662218636118,-14.2653915134277
